window_index,DLinear,PatchTST,iTransformer,TimesNet,ZeroPred,Persistence,HAR_EWM
1228,0.536380291,0.5738729835,0.5359066129,0.5406193733,0.5439226627,0.6254357696,0.541782558
1229,0.4548577368,0.4586377144,0.4578086436,0.4670575559,0.4703835547,8.115801811,0.474729687
1230,0.4586029053,0.4506802559,0.4652630985,0.4692754745,0.4703893661,0.4724035263,0.4746570587
1231,0.4750132561,0.4802504778,0.4780105054,0.4810468853,0.4814125001,0.4780019224,0.4846909344
1232,0.4672572911,0.4684973657,0.4717885554,0.4757700861,0.4807053506,0.6163154244,0.4857012331
1233,0.4753461778,0.4629137516,0.4693849981,0.4794714451,0.4844237864,0.5248703957,0.4905738533
1234,0.4765330255,0.4856279194,0.4786396027,0.4833080769,0.4851055145,0.4887262285,0.4910150468
1235,0.4975649416,0.4999319613,0.5035681129,0.5068610907,0.5068952441,0.8766996264,0.5084505677
1236,0.4993518889,0.5257067084,0.5032376051,0.5097709298,0.5095868707,0.5072577596,0.5109949708
1237,0.5024001598,0.4855591357,0.4931144714,0.5069016814,0.5066174865,0.7470266819,0.5063406825
1238,0.4889043272,0.4782542288,0.5029911995,0.5004741549,0.5018056035,0.9140589237,0.5006171465
1239,0.5058123469,0.4968221188,0.498708576,0.5101066828,0.511320591,0.5211670995,0.5095866323
1240,0.5003195405,0.4967492521,0.5001337528,0.5056585073,0.506416738,1.130821705,0.5059209466
1241,0.493408531,0.4864654839,0.5022161007,0.5053763986,0.5060209036,0.6409776211,0.5065589547
1242,0.4991916716,0.4901925027,0.5122321248,0.5082589984,0.5096055269,0.6459878087,0.5089805722
1243,0.4973950386,0.4966262877,0.4998656213,0.5090377927,0.5075593591,0.6925927997,0.5062346458
1244,0.4982508123,0.5212531686,0.5036392808,0.5101094842,0.5078500509,0.6157963872,0.5069935918
1245,0.4960636795,0.502753675,0.5031856894,0.5109935403,0.509144485,0.5302957892,0.5082233548
1246,0.5032941699,0.4822951853,0.5018267035,0.5109991431,0.5085785985,0.547881186,0.5075858235
1247,0.5142657757,0.5068337917,0.5186538696,0.519967854,0.518248558,0.9631445408,0.5180335045
1248,0.5140886307,0.5275608897,0.5106576085,0.5159960985,0.5168323517,0.6765267849,0.5162701011
1249,0.5162478089,0.5155649185,0.5071533322,0.5169027448,0.5175424218,0.5302366018,0.5170969963
1250,0.513513267,0.5251412988,0.5172016025,0.5205250978,0.5182361007,0.8215868473,0.5183454156
1251,0.5011482835,0.5024585724,0.5084039569,0.5043271184,0.5044727921,1.927557588,0.5082630515
1252,0.4905645549,0.5204028487,0.495847255,0.5012827516,0.5000569224,0.9706142545,0.500968039
1253,0.4957178533,0.5024473667,0.5074951649,0.4992477596,0.5000807643,0.5023357272,0.5007889867
1254,0.4993850291,0.476532191,0.5035352707,0.5022223592,0.5020338893,0.5452403426,0.5022849441
1255,0.4977752268,0.5095262527,0.4884139597,0.5002627969,0.4997828901,0.7470862269,0.5012335181
1256,0.5006991029,0.4856497347,0.5015048385,0.5008277297,0.4994175434,0.5342516303,0.5002009273
1257,0.4929248393,0.4958568811,0.4967034757,0.494844079,0.4948482513,0.9102022648,0.4944892824
1258,0.4901943207,0.4974280894,0.4906003475,0.4868837893,0.486546129,1.277136207,0.4867879152
1259,0.4846902788,0.4970026314,0.4829333127,0.4828414023,0.4799205363,1.342963099,0.4824467897
1260,0.4789775908,0.4985049069,0.4771651924,0.4833835065,0.4800254405,0.5082326531,0.4828693867
1261,0.4781035483,0.5020347238,0.4896462858,0.4868390262,0.4815749824,0.905234158,0.4863769114
1262,0.484752655,0.4835911989,0.483890444,0.484070152,0.4812295437,0.8014767766,0.4882662296
1263,0.4747601748,0.4848229587,0.4804748595,0.4783060551,0.4771963358,0.8865085244,0.4882179797
1264,0.4780080318,0.4690852165,0.4748093188,0.4735352993,0.4715269804,1.03475976,0.4767598212
1265,0.4787454903,0.4643889368,0.4819606841,0.4743864536,0.4730861485,0.5507538915,0.478853941
1266,0.4892241955,0.4886724055,0.4898695946,0.4851017892,0.4876714647,0.4939701855,0.4914359748
1267,0.6139054894,0.6094929576,0.6056851745,0.5985401869,0.6033832431,0.6372222304,0.6001135111
