window_index,DLinear,PatchTST,iTransformer,TimeMixer,FreTS,TimeXer,ZeroPred,Persistence,HAR_EWM
0,1.470309854,1.589830041,1.507173061,1.518242002,1.564192176,1.565914154,1.569950104,1.523296714,1.523296714
1,1.512372971,1.584965587,1.588881135,1.547426581,1.590478897,1.646632195,1.573929191,1.525820374,1.525820374
2,1.499002337,1.595211625,1.592346072,1.563361764,1.598955035,1.619319439,1.58448565,1.544331908,1.534002304
3,1.524376392,1.614835858,1.634926796,1.54580307,1.555730462,1.566527009,1.580975533,2.282540321,1.537255168
4,1.54211235,1.556070209,1.53332901,1.541177273,1.514355779,1.553297997,1.545934081,1.663580418,1.489461303
5,1.411655903,1.422983527,1.391374588,1.454651237,1.45111382,1.496220469,1.442446232,2.889356852,1.374263167
6,1.33953464,1.424219728,1.416385531,1.410220265,1.411595225,1.435700297,1.406139016,3.663744926,1.342141271
7,1.349225402,1.421524525,1.406268716,1.400883555,1.374243855,1.398578644,1.403903484,1.693164229,1.344110847
8,1.331799865,1.392099023,1.339339137,1.396456838,1.41110146,1.396343708,1.392156243,1.326712489,1.320651889
9,1.390376568,1.420636535,1.444186568,1.39597404,1.406324744,1.444495797,1.417398095,1.459094048,1.354170203
10,1.383118153,1.430221915,1.349726558,1.426906109,1.454868793,1.480898738,1.41957891,1.309095979,1.353966355
11,1.378572583,1.447387695,1.4467206,1.458339214,1.403906345,1.412101626,1.437619209,1.804798484,1.382296205
12,1.427676797,1.459484696,1.487798333,1.494476795,1.426874638,1.465605736,1.438895583,1.376802564,1.385339618
13,1.360726953,1.435360432,1.488004088,1.435613513,1.419127822,1.450245023,1.404773355,2.960937262,1.364408016
14,1.374648094,1.417408347,1.417586446,1.401906133,1.377326131,1.414124489,1.397417188,1.331600785,1.352397323
15,1.396764159,1.423483849,1.431164742,1.39571631,1.401388526,1.455384731,1.397663593,1.433534503,1.353807449
16,1.358455539,1.413385749,1.430925488,1.468240142,1.379910827,1.375685334,1.392073274,1.293214083,1.341543555
17,1.363518238,1.395200849,1.332220912,1.399322867,1.371131539,1.379829526,1.38790977,1.267138839,1.33513689
18,1.207378387,1.228762746,1.189288974,1.242602229,1.226883769,1.273255348,1.241854906,3.799348831,1.188778162
19,1.206717849,1.239694953,1.274880767,1.235128045,1.271064758,1.213625312,1.236676574,1.187738419,1.186622977
20,1.226923347,1.237519741,1.268180966,1.230789185,1.248478413,1.217939734,1.236255765,1.306144476,1.187076569
21,0.1752548963,0.1925405264,0.1593685895,0.1862211823,0.1907019764,0.1856116503,0.1909297705,25.04908752,0.2507607937
