window_index,DLinear,PatchTST,iTransformer,TimeMixer,ZeroPred,Persistence,HAR_EWM
675,1.116121054,1.316160321,1.538362384,1.25146997,0.8245845437,1.611293793,1.049655914
676,1.071826577,1.208984971,1.272178054,1.238942504,0.8427817225,1.204838157,1.061651111
677,0.3901990354,0.3482922614,0.4784243405,0.3407604396,0.4331730306,11.05322933,0.4788024426
678,0.3328288496,0.2964939773,0.3881992996,0.2784622908,0.3845333159,1.737015605,0.3959672451
679,0.5058627725,0.4337966442,0.4832355976,0.3381372392,0.2851139605,3.947603941,0.2497618645
680,0.481641382,0.3597492278,0.3293370306,0.374717325,0.2894781828,1.245910048,0.237810716
681,0.4438419342,0.3514755964,0.2207515091,0.2911833525,0.3392091095,0.3195835054,0.2762393951
682,0.4797277153,0.3756797314,0.3114886582,0.266566962,0.4114535749,0.4331058562,0.3353032172
683,0.5507838726,0.4116500318,0.3246946633,0.3163099587,0.404961437,1.095937967,0.3293392956
684,0.484803468,0.4177211523,0.322817564,0.3134061992,0.435117811,0.3730632365,0.3527981341
685,0.2986955047,0.3321684003,0.2522711158,0.2077748328,0.4368019998,0.6225985885,0.338596195
686,0.3127264678,0.352181226,0.2128819674,0.243103683,0.4899805486,0.3892908096,0.3740170002
687,0.2962701321,0.3578698635,0.3046428561,0.2363723963,0.5243045688,0.5620080829,0.3899132311
688,0.3764959872,0.410045743,0.2890944183,0.2495202273,0.5928368568,0.485907644,0.4421631396
689,0.3368705511,0.458571285,0.2626831234,0.2363428324,0.640481174,0.4254845083,0.4694333971
690,0.4082091153,0.5285023451,0.4810918272,0.2869036496,0.6984398961,0.7102811337,0.5126462579
691,0.4406455755,0.4111188352,0.3001052141,0.3290300667,0.707470417,1.01883471,0.5201488733
692,0.4239855111,0.4540127814,0.2886045277,0.2677697837,0.7515591979,0.3821849823,0.5474370122
693,0.4747402668,0.4461972415,0.2623031437,0.2976134121,0.7766392827,0.5884616375,0.5634775758
694,0.5737898946,0.5064490438,0.2489114255,0.3339341879,0.8398947716,0.9418392777,0.6145506501
695,0.6319074035,0.5452256203,0.2996996641,0.3721559048,0.8556633592,1.434375405,0.6321700215
696,0.5725817084,0.5605018139,0.3685554564,0.3569203913,0.8563937545,0.5659820437,0.6374147534
697,0.6047794819,0.6005228162,0.5652639866,0.3896298409,0.8619955182,0.5670647025,0.6499014497
698,0.7774109244,0.6943112016,0.5213568807,0.4730758667,0.8515635133,2.293176651,0.6528581977
699,0.6864414215,0.5737549663,0.5432983041,0.4421789944,0.8817389011,0.9358534813,0.6790611744
700,0.5125402808,0.4270196855,0.386059612,0.3058346808,0.8887961507,0.2434443384,0.659457922
701,0.5448215604,0.5292768478,0.3421204984,0.3426169455,0.9670040011,0.2779958844,0.7051756382
702,0.6987965703,0.7217285633,0.4076296985,0.4237762988,1.028654337,1.114522815,0.7575227618
703,0.5161376595,0.5335670114,0.3428373039,0.32511428,1.025240541,0.24623923,0.7297948003
704,0.490976125,0.5783085823,0.2688595653,0.3334658146,1.059214711,0.2469880581,0.7318636775
705,0.3985812366,0.4984526634,0.2884159684,0.2896550596,1.033402443,0.280061841,0.6775732636
706,0.3474018574,0.3621765077,0.2716512382,0.2064271718,0.9789857864,0.4390098155,0.5974603295
707,0.4082386494,0.5026977658,0.3045059741,0.2566192448,0.9743770957,0.5002657771,0.5951063037
708,0.4133400023,0.4006498754,0.3114032745,0.2975867093,1.013279557,0.253950268,0.6042411327
709,0.3612080514,0.3953178823,0.3089843988,0.2836685479,0.9764256477,0.299626559,0.5565462708
710,0.32087937,0.3495551646,0.2879124582,0.2686648071,0.9487797618,0.5313253999,0.5041577816
711,0.284150809,0.3351674974,0.3274913728,0.2526497543,0.9252832532,0.4936037064,0.4598581493
712,0.2750548422,0.3252274692,0.2991025448,0.2407484502,0.8978543282,0.4589041471,0.4177623689
713,0.2534040511,0.2646893859,0.2675024569,0.2392758578,0.8392656446,0.5306167006,0.3614664078
714,0.2875190973,0.2928060591,0.2931797504,0.2774557769,0.8784816861,0.3850076497,0.3723697364
715,0.3053506911,0.2974012196,0.3052670956,0.2767862976,0.8725975156,0.3231433928,0.3708609045
716,0.3125985563,0.2870275974,0.30128631,0.2623299062,0.8331211209,0.3630672395,0.3398247659
717,0.315330267,0.2997051477,0.2394212931,0.2511996925,0.8096570373,0.2554918826,0.3314501941
718,0.3200878501,0.2863479853,0.2305091023,0.2346595377,0.7500335574,0.5277356505,0.2979797423
719,0.2934780419,0.312019825,0.2437440604,0.2429268807,0.730301559,0.2671890259,0.3019050658
720,0.2767725885,0.3608933389,0.2132848054,0.1978601664,0.7278674245,1.168014646,0.2932325304
721,0.3366715014,0.599612236,0.2440616637,0.292851299,0.7197477221,1.547960639,0.2823871076
722,0.2925253212,0.3157571554,0.3010235727,0.2332032472,0.7156823277,0.2921221256,0.2835668027
723,0.2103847712,0.2690473497,0.2550856173,0.1688634008,0.6985862851,0.2393980175,0.2716287076
724,0.1893502027,0.1580096632,0.2243697047,0.1583755016,0.674665153,0.2723006606,0.2572015822
725,0.1074721217,0.1318719238,0.1928681582,0.1229705587,0.5877844691,1.011808276,0.1997644901
726,0.1221668199,0.1390483528,0.1420742124,0.1555780172,0.5534610152,0.5240219235,0.1779524833
727,0.1218076423,0.1472690552,0.1328455657,0.1491067111,0.5428969264,0.1823987514,0.1750435382
728,0.1406506151,0.1204719916,0.1554257572,0.1572971642,0.4840569794,0.5751162767,0.1561575383
729,0.1144810319,0.1246580705,0.1224357113,0.1510726959,0.4850306511,0.1898226738,0.1561543345
730,0.1193856373,0.1239390001,0.120120585,0.1255811006,0.4868852794,0.1623339504,0.1563627124
731,0.1188608781,0.1172656193,0.1282498837,0.1202204525,0.5018702149,0.3862104714,0.1492322981
732,0.1050697789,0.1173098981,0.1471978575,0.1266493797,0.4912415445,0.6282333732,0.1416653246
733,0.2010255903,0.2378939241,0.2395245582,0.1895342618,0.5211455226,0.2422777861,0.2388739586
734,0.202853322,0.2273989916,0.2273762971,0.2191046327,0.4710287154,0.6109633446,0.2444247007
735,0.2389073521,0.2181769609,0.2702051401,0.2635830343,0.4225630462,0.6762205958,0.2621420324
736,0.252085954,0.2667864561,0.2327954769,0.2661634982,0.3827782571,0.5855767131,0.2658031285
737,0.2324593067,0.2557417154,0.2425528169,0.2674651444,0.4025810957,0.2768508494,0.2703425586
738,0.4053012431,0.4869994223,0.285916537,0.3884188831,0.3274047673,1.689712048,0.3243671358
739,0.3055487573,0.3320781887,0.3297468126,0.3133941591,0.3224851191,0.2309924364,0.3294262588
740,0.3199727833,0.4182811975,0.274971962,0.3137968779,0.311399579,0.2916696966,0.3361149132
741,0.3024044931,0.3112128675,0.2798572481,0.3191600144,0.3225148618,0.2329143733,0.3240876198
742,0.3065536618,0.3168601692,0.2540665567,0.2960473597,0.3307625055,0.2326920033,0.315276891
743,0.2825702429,0.2928656042,0.3003894389,0.2749812007,0.3362594843,0.3031847179,0.2968610823
744,0.2776382864,0.2780065238,0.2881320119,0.2914205492,0.3400917053,0.27852723,0.2837258875
745,0.2775878012,0.2667043507,0.2921662033,0.3168072402,0.3604815006,0.3896097243,0.2620833218
746,0.2822264135,0.2713572085,0.2752196491,0.3137617409,0.3818962574,0.2411067337,0.258892566
747,0.2854018509,0.2973837554,0.2756374776,0.2926424742,0.3858776391,0.2639127374,0.2593767941
748,0.2833498716,0.3051115572,0.3063845634,0.2924975157,0.3810712397,0.2528540492,0.2600595057
749,0.2854445279,0.2880654037,0.3066457212,0.2865235806,0.3745531142,0.2658978701,0.261115104
750,0.2885898054,0.3153474331,0.3242082298,0.3032114208,0.3475865424,0.4554563463,0.2790756524
751,0.2831239998,0.2723033428,0.2982256114,0.2796590626,0.3362661302,0.2774804533,0.2870277464
752,0.281655103,0.2752382755,0.442024231,0.2788881361,0.3384242356,0.2348723859,0.2819472849
753,0.3071467578,0.2643970549,0.3816616535,0.3020248711,0.3384598196,0.4343838394,0.28486678
754,0.3489671648,0.413513571,0.4246416986,0.3491908014,0.4063695967,0.3889420927,0.3191864491
755,0.3696645796,0.379314661,0.4997081757,0.3558785617,0.3925763071,0.3701886237,0.343616873
756,0.4203437269,0.3900190294,0.4585820436,0.3875200748,0.3347532749,1.080062747,0.3445372581
757,0.2389717102,0.2357913405,0.6278727651,0.27794227,0.313752383,1.920725465,0.2274067998
758,0.2570406497,0.2862300277,0.4695614874,0.3326830268,0.3570392132,0.3866920173,0.2195667475
759,0.2927280664,0.2810204923,0.8444981575,0.3110119402,0.3900163174,0.588934958,0.2026336342
760,0.2806204259,0.2279536277,0.6906517148,0.3440155983,0.3911194503,0.2493085265,0.2006160468
761,0.2911818326,0.2289860696,0.3889182508,0.2734576762,0.4057050049,0.4378160536,0.2093766779
762,0.389634937,0.2862975895,0.6734571457,0.3924205005,0.4373815954,1.726909995,0.166295141
763,0.3550399244,0.3260418177,0.8195126653,0.3860303462,0.4496805668,0.3867551088,0.1617092043
764,0.3525532186,0.3043301404,0.7085302472,0.3618342876,0.4604120255,0.3124558032,0.2002891898
765,0.2700169981,0.273271203,0.3368809521,0.3333909512,0.4466256201,0.2128504366,0.2074244022
