window_index,DLinear,PatchTST,iTransformer,TimeMixer
1389,0.176554203,0.1453868747,0.1611872762,0.1613525152
1390,0.1977122277,0.1502067,0.2114257067,0.1975805014
1391,0.2055173665,0.1856178641,0.2003896385,0.2001943588
1392,0.269223839,0.2547079921,0.2570353448,0.2510192692
1393,0.2438695431,0.2637455761,0.2403988838,0.24786295
1394,0.289935112,0.3139097095,0.3056902587,0.265219003
1395,0.2779231966,0.2898682058,0.2846370637,0.2717449069
1396,0.2877254188,0.31336236,0.2605089247,0.2691831291
1397,0.3666098416,0.4189960063,0.4421552122,0.3333189189
1398,0.3901140392,0.4027553797,0.5023818612,0.3669941425
1399,0.3692890406,0.3753577471,0.3769434988,0.3344857395
1400,0.4294758737,0.4013724327,0.4306651056,0.386277169
1401,0.4635579884,0.4444638193,0.4540713727,0.4418563843
1402,0.5240616798,0.5995947123,0.5294573307,0.5110320449
1403,0.5466021895,0.5320082307,0.5092650056,0.5345851183
1404,0.5520273447,0.5019567013,0.4741713107,0.5531656146
1405,0.611682117,0.5640293956,0.5597893596,0.552491188
1406,0.6278428435,0.5367569327,0.6217731833,0.5669398904
1407,0.6169599891,0.5925157666,0.6041509509,0.5624491572
1408,0.6331859827,0.575489819,0.5653023124,0.5799373984
1409,0.5740705132,0.5464859605,0.5293298364,0.5759548545
1410,0.5626604557,0.5448184013,0.5783341527,0.5773890018
1411,0.5632501245,0.5800567269,0.7101752758,0.5787998438
1412,0.5403957367,0.6348070502,0.7058871388,0.5960130095
1413,0.5461819768,0.61857301,0.6811867356,0.5667633414
1414,0.5530357361,0.640707016,0.5925302505,0.6384289861
1415,0.5641112328,0.5992617011,0.5853325129,0.6514754295
1416,0.6325447559,0.6691145301,0.648008883,0.7702168822
1417,0.5577172041,0.6086161137,0.6451473832,0.6789812446
1418,0.5999734998,0.8492641449,0.5937270522,0.7215922475
1419,0.5514588356,0.5351477265,0.5637839437,0.6236324906
1420,0.5859873891,0.6459550261,0.536226213,0.6531280279
1421,0.38778615,0.3406945169,0.3884022236,0.4408448637
1422,0.4035694599,0.3920582235,0.3670831621,0.4240070283
1423,0.4314723909,0.4568943977,0.3559669554,0.3944732249
1424,0.4176327884,0.4612693787,0.340565443,0.3898394108
1425,0.4946361482,0.4718771875,0.4475777149,0.363083601
1426,0.565266192,0.482398361,0.5452957749,0.3684331477
1427,0.6268793941,0.7496845722,0.5474461913,0.4791117609
1428,0.649523735,0.578194797,0.7129206061,0.561785996
1429,0.4042320549,0.395532608,0.4287696183,0.3605926335
1430,0.2605350018,0.1750776172,0.2823085785,0.2525203526
1431,0.2867683172,0.1613417268,0.1978063434,0.2753970325
1432,0.1968525797,0.1929815859,0.1654366255,0.1889678687
1433,0.2068645805,0.1905689985,0.1848410964,0.2054812461
1434,0.1633149534,0.1649419367,0.1437485963,0.1876308173
1435,0.236084938,0.2117786556,0.2297573537,0.2535491884
1436,0.2215148658,0.2461429238,0.2328816503,0.2865987718
1437,0.2245656252,0.291107744,0.2593176961,0.3259924948
1438,0.2299592346,0.2515347898,0.2880224288,0.2862614691
1439,0.2467458695,0.2305629402,0.2917356193,0.3060621917
1440,0.2705341876,0.3172622323,0.3276812136,0.3250516355
1441,0.3019650877,0.2847842872,0.3454602659,0.315825671
1442,0.412489742,0.39813748,0.3961267173,0.4188797176
1443,0.5847279429,0.6312266588,0.6342830062,0.569362402
1444,0.4925332963,0.6480020881,0.5793221593,0.4838367403
1445,0.5279100537,0.6562903523,0.7364283204,0.4986159801
1446,0.5455675721,0.5867998004,0.7247239947,0.5198485255
1447,0.563847959,0.7140848637,0.5597096086,0.5671510696
1448,0.6276802421,0.7290350795,0.5565218329,0.6435654759
1449,0.6590708494,0.6632965803,0.8909869194,0.7012984753
1450,0.6482428908,0.5855941176,0.7143816948,0.7892336845
1451,0.6260744929,0.609903574,1.164333463,0.7355329394
1452,0.5879197717,0.6544978023,0.6958006024,0.6074254513
1453,0.7086822391,0.7567305565,0.8845297694,0.682457149
1454,0.6707659364,0.7937172055,0.9643931389,0.6152527928
1455,0.7165880203,0.8611796498,0.9540478587,0.6450434923
1456,0.506400764,0.4967340529,0.3252838552,0.4598148763
1457,0.4895474017,0.556009531,0.4841126204,0.4409517348
1458,0.4905094802,0.5194858313,0.4412216842,0.4235581458
1459,0.3437685966,0.3849939108,0.3535866439,0.2989495695
1460,0.331687808,0.3626721799,0.2614707649,0.2925413549
1461,0.3861989081,0.451302439,0.2998769879,0.3579528034
1462,0.3599247038,0.375980258,0.3792692125,0.3163329363
1463,0.3470720053,0.3455847502,0.4720331132,0.3083586991
1464,0.3152201474,0.3136731088,0.4124810696,0.3010999262
1465,0.3304617107,0.3091862202,0.4572598934,0.2884985805
1466,0.2906011343,0.3357122242,0.4415700436,0.2862338722
1467,0.378513813,0.3069523573,0.5007852912,0.3477359712
1468,0.3032483459,0.24539949,0.4582849443,0.2668569386
1469,0.2888613939,0.2367058992,0.4140690863,0.2837259471
1470,0.3158321083,0.2103280574,0.463522464,0.2898964584
1471,0.2792195976,0.2878808081,0.4304307401,0.2434450537
1472,0.2239818573,0.2137855738,0.2193274647,0.2066507339
1473,0.2107566744,0.1799487621,0.242488876,0.1781098396
1474,0.2244338989,0.2162172049,0.2754718065,0.2244928479
1475,0.2709041238,0.248433724,0.3197032511,0.2577640116
1476,0.2003077269,0.2172025442,0.2656315565,0.2040505558
1477,0.1759134531,0.2029022574,0.2748908401,0.2068698853
1478,0.2037065029,0.2087351084,0.2416622639,0.2385304123
1479,0.2039624006,0.2170049101,0.2426043898,0.2267020941
1480,0.2070208788,0.2257614136,0.2142452151,0.2196060419
1481,0.2196313739,0.2237813622,0.3338663876,0.1825355887
1482,0.1995279789,0.2061510235,0.3222387731,0.2037474662
1483,0.1789814383,0.1833770126,0.2140063494,0.1658847481
1484,0.1611184031,0.187749505,0.2081785202,0.1454788297
1485,0.1893616319,0.2148021013,0.241088748,0.1698997021
1486,0.1840200871,0.2011142969,0.2081973106,0.2038417459
1487,0.2084318846,0.209655568,0.3013654053,0.2363923043
1488,0.1447985023,0.1514564008,0.2166595012,0.1724439412
1489,0.1383033842,0.1443251967,0.2255268246,0.168511197
1490,0.1491792351,0.145832777,0.1924041361,0.1671463251
1491,0.1461271942,0.1675449163,0.1410430372,0.1605478376
1492,0.1586785465,0.1841951162,0.1598935723,0.1461005658
1493,0.1557392478,0.1553125381,0.1776902527,0.1419135183
1494,0.1483161151,0.1658423543,0.1629088223,0.1266372055
1495,0.1454045027,0.1479930878,0.1597467214,0.1081094444
1496,0.2309522182,0.2315028161,0.3691283762,0.1874632686
1497,0.179490149,0.1969889849,0.1776462793,0.1679695398
1498,0.148823455,0.1316808909,0.1591684371,0.1260932833
1499,0.1592409909,0.1327794939,0.155142948,0.1320348531
1500,0.1814011782,0.1524184793,0.2276262194,0.1597970277
1501,0.1698321551,0.1476400942,0.2163764685,0.1582238525
1502,0.2388580292,0.1796113253,0.3949824572,0.2512402236
1503,0.1919258833,0.1900386363,0.3050173223,0.2003479749
1504,0.1419653445,0.1748937815,0.3056322038,0.1592834294
1505,0.1740380079,0.1989374906,0.2655809224,0.1870539784
1506,0.1743001193,0.2016320825,0.1844176799,0.1648404747
1507,0.1718988866,0.196603477,0.1976010352,0.1698441654
1508,0.1830808967,0.1585554481,0.1844994277,0.1502570957
1509,0.1962356567,0.1774779409,0.2109392434,0.1667239666
1510,0.2028654814,0.1699265391,0.1969882399,0.1708399057
1511,0.2265706807,0.1813360453,0.2238895446,0.199168846
1512,0.2376028746,0.2142796963,0.2462044805,0.202499792
1513,0.264945209,0.2682819068,0.2506842315,0.2105691433
1514,0.2692754567,0.2551500499,0.302513212,0.2201191783
1515,0.2950002849,0.2557918727,0.3233960271,0.2543328404
1516,0.2686491609,0.2709199488,0.3253499866,0.2666514814
1517,0.3019419014,0.2642234862,0.307207793,0.3186095953
1518,0.3403805494,0.3256668448,0.4149801433,0.3072039783
1519,0.5365398526,0.545838654,0.6695774198,0.5311928391
1520,0.5532093644,0.5447440743,0.687632978,0.6090223193
1521,0.607339859,0.6150301099,0.8068928123,0.6540701389
1522,0.6287793517,0.6374214888,0.8310363293,0.7263949513
1523,0.6553358436,0.6863229275,0.9075339437,0.7815735936
1524,0.7449300885,0.7788252831,0.9739640355,0.8429570198
1525,0.7079980373,0.7475705147,0.9972249866,0.8112481236
1526,0.7824594378,0.8294304013,0.952994287,0.8297379613
1527,1.107678294,1.120889544,1.3282727,1.181361437
1528,2.025667429,1.959185481,2.331156015,2.090765238
1529,2.349453926,2.287398577,2.651203632,2.479121685
1530,2.525043488,2.65901351,2.80093646,2.780588388
1531,2.631958961,2.559829712,2.822997332,2.882348776
1532,2.749619722,2.790652275,2.952367067,3.024288177
1533,2.340556145,2.306684256,2.746257544,2.529721498
1534,2.568081141,2.633893251,3.032404661,2.672572851
1535,2.96931529,2.873938322,2.94271946,3.074415207
1536,2.479847908,2.33381772,2.925841093,2.631657124
1537,2.602409601,2.494398355,2.488619089,2.766166925
1538,2.445545912,2.177908897,2.857006788,2.657100916
1539,2.138183355,2.058237076,1.935767293,2.178927422
1540,2.135602713,2.124092817,2.452448606,2.164730787
1541,2.058288574,1.971790314,2.69595933,2.055714846
1542,1.72293365,1.663100243,2.037005663,1.702281594
1543,1.274058223,1.264774442,1.622003198,1.288510799
1544,1.371282578,1.401088357,1.9391855,1.333738685
1545,1.242328525,1.142132878,1.496438503,1.189213037
1546,1.350143909,1.38696003,1.398708224,1.301861763
1547,1.425657153,1.34211266,1.082073569,1.367864609
1548,1.278022766,1.340509295,1.268408775,1.220787406
1549,1.436921239,1.460609317,1.168094873,1.362778306
1550,1.371446133,1.381877303,1.010870934,1.323173642
1551,0.7276040912,0.7891914248,0.6519783139,0.7638496757
1552,0.7061170936,0.5530927181,0.4852828979,0.7930340767
1553,0.4383029044,0.257532388,0.3721936047,0.4859398901
1554,0.5005674362,0.3513819873,0.7368454337,0.5317517519
1555,0.4317190945,0.225278914,0.308537364,0.4609896839
1556,0.3460359871,0.220288828,0.2502914667,0.2830266654
1557,0.3768528998,0.2628100812,0.1787279695,0.3419348001
1558,0.4403580129,0.3756266534,0.3627728522,0.4155375957
1559,0.3987898529,0.4676025808,0.4025123119,0.3440111876
1560,0.3664667904,0.3389317095,0.5857953429,0.3500212133
1561,0.2939604819,0.3739843369,0.4360179901,0.2481807619
1562,0.3414037526,0.4168104827,0.4392465353,0.2885286808
1563,0.3381273746,0.3975633085,0.3318786621,0.3678823411
1564,0.2640706599,0.2694169283,0.35229671,0.2412371188
1565,0.2867968976,0.3068229258,0.3477585316,0.2732290328
1566,0.261790961,0.2952575982,0.2854797542,0.2762393355
1567,0.2570851445,0.3023906052,0.2746468484,0.277400583
1568,0.2466717958,0.3241486847,0.3103427589,0.2486448735
1569,0.2522187531,0.2969364822,0.2496299297,0.2641408145
1570,0.263258338,0.2533521354,0.2552722991,0.245912835
1571,0.3514965773,0.2780070007,0.2528241575,0.2902235091
1572,0.3100038469,0.2414609939,0.1526499242,0.2887141109
1573,0.2695197165,0.2489442378,0.2557549775,0.269551754
1574,0.2465581894,0.2347577065,0.2068617791,0.2403170466
1575,0.2386740893,0.2174653411,0.2204142213,0.2231978625
1576,0.2472263426,0.2471090406,0.2683253288,0.251683116
1577,0.2468691319,0.2436321974,0.2298188806,0.2462158203
1578,0.2620765865,0.2230463773,0.230690673,0.2444981337
1579,0.4022367001,0.3372787535,0.3926273882,0.3656597137
1580,0.3949557841,0.3608984947,0.3218578398,0.3146863282
1581,0.4017482996,0.389626056,0.3613448143,0.3205379546
1582,0.4731732905,0.4984386265,0.3832187653,0.4060014784
1583,0.4853884876,0.4993067682,0.555141151,0.4238724411
1584,0.5530781746,0.5437888503,0.4774495065,0.5160099864
1585,0.4610218108,0.4701311886,0.4841067791,0.4562712908
1586,0.3823164403,0.3515242338,0.4169594347,0.311234206
1587,0.4264933169,0.3310299516,0.4283371866,0.3824330866
1588,0.3991661966,0.3833001554,0.4097409248,0.3488674164
1589,0.4111736119,0.4069509506,0.3550745547,0.3829677999
1590,0.4539072514,0.4247446954,0.4207847118,0.4147371352
1591,0.4617509842,0.4343139827,0.4951188564,0.4260418117
1592,0.5172736049,0.4899808168,0.5290399194,0.4477892816
1593,0.5414455533,0.4848891497,0.5029014349,0.525919497
1594,0.5542364717,0.4773345292,0.5416730642,0.4904221594
1595,0.546020329,0.4924950302,0.5648067594,0.4707660377
1596,0.5509347916,0.5192789435,0.5796049237,0.4843026698
1597,0.5290942788,0.5559379458,0.5895352364,0.4908726215
1598,0.5419700146,0.5956091881,0.6416482925,0.561360538
1599,0.547606647,0.5648345351,0.5954871178,0.5263572335
1600,0.5957311392,0.5512756705,0.6222365499,0.6022132039
1601,0.5899123549,0.5751162171,0.6405950189,0.6645584106
1602,0.5853468776,0.6148492694,0.6338905692,0.650149107
1603,0.5458774567,0.5030121207,0.4818799198,0.687528789
1604,0.5911271572,0.6007786393,0.6094331741,0.6761677265
1605,0.5930562019,0.6311206818,0.7473884225,0.6859627366
1606,0.8246683478,0.7439634204,0.6488230228,0.9279943109
1607,0.6034103632,0.4426366389,0.6831067204,0.6759605408
1608,0.5923356414,0.5387172699,0.745029211,0.6729984879
1609,0.7270877957,0.6810390353,0.568520546,0.8545245528
1610,0.6564227939,0.623608768,0.5177410245,0.7783679962
1611,0.4617335796,0.4603424966,0.4252560139,0.6089393497
1612,0.4182007313,0.5147867799,0.4110275209,0.5194601417
