window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,ZeroPred,Persistence,HAR_EWM
0,0.003968304489,0.0009026959888,0.009582346305,0.001925985678,0.001411698177,0.003992946353,0.001419944107,0.001419944107
1,0.003807223169,0.0009248739225,0.009768842719,0.001902538352,0.001415062346,0.003986806609,0.001422004425,0.001422004425
2,0.003782952204,0.0009447059711,0.009714506567,0.001878867857,0.001427564304,0.003980622161,0.001474729739,0.001426036819
3,0.003774433164,0.000942781975,0.00893453043,0.001861938857,0.001417089254,0.003972253762,0.001285620499,0.0014248105
4,0.003695467487,0.0009583160281,0.008702072315,0.001843658159,0.001380137517,0.003963461611,0.001290488173,0.001424563699
5,0.003488958115,0.0009839419508,0.008639938198,0.00181338808,0.001378665678,0.003955256194,0.001372316969,0.001427373965
6,0.003225323511,0.001005117781,0.008428928442,0.001780435094,0.001394058927,0.003947323654,0.001408567652,0.001431284472
7,0.003466443392,0.0009929455118,0.007540317718,0.001757655642,0.001385108219,0.003936943132,0.001222817344,0.001430446864
8,0.003545963904,0.0009753673803,0.006617244799,0.001738595427,0.001336574554,0.003923954908,0.001052452368,0.001423608861
9,0.003378733993,0.000951604452,0.005628405139,0.001712119207,0.001386997639,0.003907938022,0.0009037835989,0.001410150551
10,0.003316998482,0.0009558721795,0.005251971539,0.001705007278,0.001360303606,0.003891514381,0.0008980009588,0.001396762324
11,0.003931407351,0.0008273550193,0.002919753082,0.001722472138,0.001301802811,0.003858624026,0.0006220357027,0.001352656633
12,0.00395496795,0.0007726194453,0.001852647052,0.001751626376,0.001233004616,0.003815221367,0.0007205622387,0.001295261434
13,0.003533569397,0.0007729129866,0.001696076593,0.001775935758,0.001179098035,0.003773794277,0.0007339959848,0.001247591921
14,0.003599070711,0.0007219395484,0.0009377957322,0.001814664924,0.001141098561,0.003721393412,0.0009615553427,0.001190274605
15,0.003528290661,0.0007045285893,0.0007062224322,0.001858348842,0.00108924415,0.003667440964,0.00104679761,0.001137914485
16,0.003670903621,0.0006699099322,0.000408460066,0.001910825842,0.001035337686,0.003606215818,0.001293893321,0.001083904877
17,0.003634699387,0.000736612652,0.0008013667539,0.001932758372,0.0009920512093,0.003565060673,0.0008807242266,0.001060396782
18,0.003444302827,0.0006875231047,0.0004618448147,0.001954422332,0.000984546612,0.003516439348,0.001066709869,0.001032594242
19,0.003552762093,0.0006188743864,0.0002959147678,0.00200309162,0.0009539810126,0.003453562735,0.001518522273,0.0009955331916
20,0.003359563416,0.0006291189347,0.0003428729251,0.002040736144,0.0009319526143,0.003398048691,0.00134468649,0.000972146343
21,0.003520315746,0.0005901636323,0.0004527165729,0.002083074534,0.0009177848697,0.003336460562,0.001592475572,0.0009488130454
