window_index,DLinear,PatchTST
2034,0.2906561494,0.3301321566
2035,0.3126900196,0.3639746904
2036,0.358771801,0.3962131441
2037,0.363066107,0.377222687
2038,0.3472588956,0.3354167938
2039,0.3899766505,0.3621784747
2040,0.4086383879,0.3755176067
2041,0.4842626154,0.4480608404
2042,0.5697888136,0.5990570784
2043,0.5706425905,0.5421044827
2044,0.5891034603,0.5311427116
2045,0.5754294395,0.5559161305
2046,0.6768248677,0.6702380776
2047,0.82194978,0.7276291847
2048,0.7374542356,0.6288778186
2049,0.868697226,0.7857544422
2050,0.8222926259,0.6963731647
2051,0.7832186222,0.8285538554
2052,0.5980150104,0.5991633534
2053,0.521276474,0.4445932806
2054,0.4961151779,0.4663462639
2055,0.4309128225,0.4327196181
2056,0.367053628,0.3856111467
2057,0.4425618351,0.4852075875
2058,0.3810048103,0.377021879
2059,0.360357672,0.3445897996
2060,0.3567032814,0.3031015098
2061,0.3293647468,0.3280423284
2062,0.3260168433,0.3347405493
2063,0.3466880322,0.3358564377
2064,0.3578356504,0.3495907784
2065,0.3651004136,0.3235382438
2066,0.3570290506,0.3278000653
2067,0.2834649682,0.2784796655
2068,0.3012673557,0.2332171202
2069,0.2890402973,0.2373628467
2070,0.2474660873,0.2753894329
2071,0.2810616791,0.2901501954
2072,0.3075735569,0.3132160604
2073,0.3437990248,0.3251338899
2074,0.2936186492,0.2961899638
2075,0.3102346361,0.2938968241
2076,0.3332921863,0.2610510886
2077,0.3645278513,0.2667172253
2078,0.4291013479,0.3152388632
2079,0.375084132,0.2681546509
2080,0.3284783363,0.2355887145
2081,0.2951417863,0.2163234502
2082,0.288454026,0.208936587
2083,0.2630390227,0.2001402527
2084,0.2471806556,0.1786134094
2085,0.2386489958,0.1949400157
2086,0.3516234159,0.277918011
2087,0.352309078,0.2532252669
2088,0.2344173938,0.1962979287
2089,0.2130295783,0.1980671138
2090,0.2491526455,0.2065275162
2091,0.2667443454,0.2759320736
2092,0.2279013395,0.2205587029
2093,0.2974278033,0.2487392426
2094,0.2423204184,0.2299812287
2095,0.2183316946,0.186513111
2096,0.2397539169,0.1603644043
2097,0.2160733491,0.1511907429
2098,0.2089685947,0.1567877233
2099,0.2344750911,0.2063607424
2100,0.2224261761,0.2099489421
2101,0.2474519014,0.2609169483
2102,0.2657657266,0.2699655592
2103,0.3990847766,0.400449425
2104,0.3898951709,0.3892222643
2105,0.3889531195,0.4413817823
2106,0.3924261034,0.3993590772
2107,0.4141744375,0.4196138382
2108,0.4144994915,0.4934281111
2109,0.4695878923,0.553247869
2110,0.5642741323,0.6085128784
2111,0.4182014465,0.5442413688
2112,0.4167118371,0.5276094079
2113,0.4567071497,0.5903177857
2114,0.4687099457,0.6493777037
2115,0.5383807421,0.7559799552
2116,0.5078159571,0.7113552094
2117,0.6045469642,0.880124867
2118,0.6136433482,0.7804133296
2119,0.6250481606,0.7812566161
2120,0.6276817322,0.6355022788
2121,0.5092304945,0.4877141714
2122,0.5312719941,0.4187503755
2123,0.4134183824,0.3529656231
2124,0.3576516807,0.3566908836
2125,0.3362366259,0.3768833578
2126,0.3752841949,0.4052944183
2127,0.425019592,0.4429398775
2128,0.31266132,0.3244461715
2129,0.3073137701,0.3359742463
2130,0.2923855186,0.3176319897
2131,0.2741794586,0.3153956831
2132,0.2992181182,0.3096585572
2133,0.3610610068,0.3473099768
2134,0.262506336,0.2966262996
2135,0.4063973129,0.4389973879
2136,0.3953931332,0.3947022259
2137,0.3268333077,0.3492236137
2138,0.3498093188,0.3622502387
2139,0.368999809,0.3889656961
2140,0.3949547708,0.4445845783
2141,0.3667539656,0.3474161923
2142,0.411690861,0.3580003977
2143,0.3984339237,0.3784224987
2144,0.3564809859,0.3360287249
2145,0.3684186637,0.3574208319
2146,0.4898879826,0.5106027722
2147,0.5429798961,0.624417305
2148,0.5040064454,0.5748595595
2149,0.5118615031,0.5794340968
2150,0.5299555659,0.4568257332
2151,0.5267330408,0.5831558704
2152,0.5707208514,0.5475979447
2153,0.5882479548,0.6258675456
2154,0.5949108005,0.5932025909
2155,0.6104521751,0.584236145
2156,0.5221264958,0.5527464747
2157,0.5912134051,0.5910866261
2158,0.580314815,0.7276513577
2159,0.3248217106,0.375038296
2160,0.3529519737,0.3870937824
2161,0.3874776363,0.3556036055
2162,0.3917338848,0.3904794753
2163,0.3789155185,0.3853734732
2164,0.3786972761,0.3879082203
2165,0.418255955,0.4123157561
2166,0.4056707323,0.4139668941
2167,0.4212519228,0.374235481
2168,0.4144713879,0.3744702041
2169,0.4339547455,0.3969069719
2170,0.4849315584,0.4604285955
2171,0.5112070441,0.3731879294
2172,0.4257037342,0.2086675614
2173,0.372612983,0.1774149388
2174,0.3329004347,0.1910053641
2175,0.3341151476,0.2169326544
2176,0.3233931363,0.2366081923
2177,0.1693524122,0.1464917511
2178,0.2158119529,0.2164446115
2179,0.2566729486,0.2586980462
2180,0.2320626825,0.2257208824
2181,0.2094205469,0.2189644724
2182,0.236734271,0.2478565723
2183,0.2223244309,0.2411907911
2184,0.239743337,0.2425942868
2185,0.2242544889,0.2671971619
2186,0.228852585,0.2499585897
2187,0.2286711484,0.2450235933
2188,0.2656417489,0.3171518743
2189,0.2699804008,0.3648629487
2190,0.341540128,0.4117690623
2191,0.3120629489,0.3758439124
2192,0.3348029554,0.3745921552
2193,0.2888014615,0.287291497
2194,0.3156763315,0.2700955868
2195,0.9545118213,0.8788445592
