window_index,DLinear,PatchTST,TiDE,TimeXer,ZeroPred,Persistence,HAR_EWM
0,0.2755666375,0.1366061568,0.1058525518,0.06558115035,0.9712638855,0.08742342144,0.08742342144
1,0.2762457132,0.1219075397,0.105958052,0.06341420114,0.9725207686,0.08767031878,0.08767031878
2,0.276288569,0.1201296821,0.1060109809,0.06212833151,0.9737592936,0.08671735227,0.08788137138
3,0.2781416178,0.1290078014,0.1075756922,0.06273622811,0.9749801755,0.09417627007,0.08823873848
4,0.2779414356,0.1308257431,0.1081153229,0.07253483683,0.9763106704,0.08609217405,0.08844706416
5,0.2773811221,0.1310675889,0.1081194878,0.0816539228,0.9776019454,0.08255471289,0.08849059045
6,0.2781387269,0.1294859946,0.1090788916,0.09112167358,0.9787842035,0.08470334858,0.08859622478
7,0.2792467773,0.1392071545,0.1111944914,0.09187091887,0.9803163409,0.08425945789,0.0887985453
8,0.2802081108,0.1476371139,0.1134797856,0.07379133254,0.9818193316,0.08457327634,0.08899413049
9,0.2814514339,0.1362825483,0.1150731519,0.06958896667,0.9833257198,0.0945295319,0.08942968398
10,0.2816122472,0.1309878528,0.1129756421,0.07110685855,0.9848605394,0.09488493949,0.08987496793
11,0.2827489078,0.1325284541,0.112711437,0.07876903564,0.9863805175,0.1029862911,0.09043808281
12,0.2828647792,0.1337303966,0.1129430681,0.1079812348,0.9876614809,0.1078681946,0.09098870307
13,0.2830595672,0.1314063519,0.1129765809,0.09683071077,0.9890457988,0.1159937978,0.09167503566
14,0.2876354158,0.1362729222,0.1191789955,0.07210753858,0.99028337,0.2114990503,0.09314005077
15,0.289768815,0.1454233825,0.120847553,0.06826168299,0.9914886355,0.2532309592,0.09496176243
16,0.2880412936,0.1449507475,0.1178622767,0.06721618026,0.9927298427,0.1764343828,0.09630527347
17,0.2872155905,0.1369350702,0.1156953052,0.06639827788,0.9937995076,0.1675209999,0.09754943103
18,0.2891482115,0.1397177428,0.1180267632,0.06681105494,0.9948847294,0.2073692381,0.09921412915
19,0.2891704738,0.1386808604,0.117887795,0.06705590338,0.9959875345,0.1636191159,0.1004667729
20,0.2923311591,0.1405701786,0.1219262555,0.06737469137,0.997418642,0.1924150884,0.1021523774
21,0.2932258844,0.135632664,0.1235403493,0.06900943816,0.9987128377,0.1557846814,0.1033774763
22,0.2954522669,0.1294012368,0.1259471625,0.07207198441,1.000006914,0.1561294347,0.1046084389
23,0.2956138849,0.1397079676,0.1264406592,0.07802222669,1.001323223,0.1301567256,0.1054315791
24,0.2927525342,0.1378429681,0.122033976,0.08500336856,1.002384901,0.09318406135,0.1052488759
25,0.2920158803,0.1222149432,0.1200914085,0.07506541908,1.00343585,0.09038473666,0.1049537659
26,0.2891706526,0.116471976,0.1161375791,0.07043036073,1.004460692,0.08250533789,0.104008846
27,0.2888512909,0.1156960502,0.1126810908,0.06930094957,1.005331993,0.08342266083,0.1032456309
28,0.2876399457,0.1221131086,0.1133237183,0.08970508724,1.00603497,0.08323037624,0.1020697355
29,0.2862131894,0.1238153279,0.1130276471,0.1126994565,1.00687027,0.0866381079,0.1007387266
30,0.2854608893,0.1142332181,0.1141932309,0.1049799845,1.007754803,0.08584428579,0.09957782179
31,0.2838882506,0.1191988215,0.1135359779,0.08475607634,1.00864017,0.09154964238,0.09825294465
32,0.2820887864,0.1143155098,0.1134241223,0.06180389225,1.009128332,0.09464168549,0.09681027383
33,0.2798985243,0.1030534729,0.1110023409,0.05874717608,1.009661555,0.09162837267,0.09559512883
34,0.277369678,0.1001055613,0.1084501669,0.05994113162,1.010475159,0.08804164082,0.09469839931
35,0.2790783048,0.08775626123,0.1094572097,0.07537303865,1.011466503,0.09367290139,0.09483415633
36,0.276401788,0.09912380576,0.1059758291,0.09705598652,1.012306929,0.08854394406,0.09476176649
37,0.2749575675,0.1057891622,0.1038774252,0.08175440878,1.012908101,0.09388417006,0.09480563551
38,0.2772400677,0.1001190692,0.1065770239,0.05794427171,1.01364243,0.1487089843,0.09573063254
39,0.2784103453,0.1109289378,0.1083081141,0.05656491965,1.01442802,0.1839830577,0.09703801572
40,0.2789216638,0.1127972528,0.1090558991,0.05718152225,1.01508379,0.1890767366,0.0984158963
