window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,DLinear,0.588227391242981,TimesNet,0.6052648425102234,0.01703745126724243,DLinear,0.588227391242981,0.0
1,DLinear,0.6018750071525574,PatchTST,0.612773597240448,0.010898590087890625,DLinear,0.6018750071525574,0.0
2,DLinear,0.6029711961746216,iTransformer,0.6189552545547485,0.015984058380126953,DLinear,0.6029711961746216,0.0
3,DLinear,0.6015840768814087,iTransformer,0.6123436689376831,0.010759592056274414,DLinear,0.6015840768814087,0.0
4,DLinear,0.5999007821083069,iTransformer,0.6050541996955872,0.0051534175872802734,DLinear,0.5999007821083069,0.0
5,DLinear,0.5843721628189087,TimesNet,0.5944722294807434,0.010100066661834717,DLinear,0.5843721628189087,0.0
6,DLinear,0.5815448760986328,PatchTST,0.5832165479660034,0.0016716718673706055,DLinear,0.5815448760986328,0.0
7,DLinear,0.5815499424934387,iTransformer,0.5879569053649902,0.006406962871551514,DLinear,0.5815499424934387,0.0
8,DLinear,0.573096752166748,PatchTST,0.5769478678703308,0.0038511157035827637,DLinear,0.573096752166748,0.0
9,DLinear,0.5775051712989807,TimesNet,0.5863385796546936,0.00883340835571289,DLinear,0.5775051712989807,0.0
10,iTransformer,0.5812926292419434,DLinear,0.5817966461181641,0.0005040168762207031,DLinear,0.5817966461181641,0.0005040168762207031
11,DLinear,0.59012371301651,iTransformer,0.5916799902915955,0.0015562772750854492,DLinear,0.59012371301651,0.0
12,DLinear,0.5826402306556702,PatchTST,0.5963259935379028,0.013685762882232666,DLinear,0.5826402306556702,0.0
13,DLinear,0.5852543711662292,iTransformer,0.5930860638618469,0.007831692695617676,DLinear,0.5852543711662292,0.0
14,DLinear,0.5834237337112427,iTransformer,0.590691089630127,0.007267355918884277,DLinear,0.5834237337112427,0.0
15,DLinear,0.5804151296615601,iTransformer,0.5914700031280518,0.0110548734664917,DLinear,0.5804151296615601,0.0
16,DLinear,0.5815320014953613,PatchTST,0.5873376131057739,0.005805611610412598,DLinear,0.5815320014953613,0.0
17,DLinear,0.5804846882820129,PatchTST,0.5833731293678284,0.0028884410858154297,DLinear,0.5804846882820129,0.0
18,DLinear,0.5721081495285034,TimesNet,0.5759276151657104,0.0038194656372070312,DLinear,0.5721081495285034,0.0
19,iTransformer,0.5899590849876404,TimesNet,0.5944849848747253,0.004525899887084961,DLinear,0.5959216356277466,0.005962550640106201
20,TimesNet,0.6007966995239258,DLinear,0.6011379361152649,0.00034123659133911133,DLinear,0.6011379361152649,0.00034123659133911133
21,iTransformer,0.4464653432369232,TimesNet,0.44970694184303284,0.003241598606109619,DLinear,0.4619778096675873,0.015512466430664062
22,TimesNet,0.4484535753726959,PatchTST,0.44885754585266113,0.00040397047996520996,DLinear,0.4514952301979065,0.0030416548252105713
23,TimesNet,0.4488453269004822,PatchTST,0.4494803249835968,0.000634998083114624,DLinear,0.4542410671710968,0.005395740270614624
24,PatchTST,0.44134530425071716,TimesNet,0.45750704407691956,0.016161739826202393,DLinear,0.4649246633052826,0.02357935905456543
25,iTransformer,0.45553216338157654,TimesNet,0.4585238993167877,0.0029917359352111816,DLinear,0.4664754271507263,0.01094326376914978
26,TimesNet,0.45975929498672485,iTransformer,0.459961473941803,0.000202178955078125,DLinear,0.46321842074394226,0.0034591257572174072
27,TimesNet,0.46022170782089233,iTransformer,0.46026861667633057,4.690885543823242e-05,DLinear,0.46910157799720764,0.008879870176315308
28,PatchTST,0.4588840901851654,TimesNet,0.4602889120578766,0.0014048218727111816,DLinear,0.46365487575531006,0.004770785570144653
29,iTransformer,0.45945340394973755,TimesNet,0.4617158770561218,0.0022624731063842773,DLinear,0.4617825448513031,0.0023291409015655518
30,iTransformer,0.4574955403804779,TimesNet,0.46030181646347046,0.0028062760829925537,DLinear,0.46122410893440247,0.0037285685539245605
31,PatchTST,0.46712374687194824,TimesNet,0.47320061922073364,0.0060768723487854,DLinear,0.479140043258667,0.01201629638671875
32,TimesNet,0.47285470366477966,iTransformer,0.47475236654281616,0.001897662878036499,DLinear,0.48122191429138184,0.008367210626602173
33,TimesNet,0.46677374839782715,iTransformer,0.469052255153656,0.0022785067558288574,DLinear,0.4712101221084595,0.004436373710632324
34,PatchTST,0.46432557702064514,TimesNet,0.4715704321861267,0.007244855165481567,DLinear,0.4776338040828705,0.013308227062225342
35,PatchTST,0.459257036447525,TimesNet,0.466876357793808,0.007619321346282959,DLinear,0.4770418405532837,0.017784804105758667
36,PatchTST,0.4636894464492798,TimesNet,0.4685840606689453,0.004894614219665527,DLinear,0.4761752188205719,0.012485772371292114
37,TimesNet,0.46854713559150696,PatchTST,0.47045838832855225,0.001911252737045288,DLinear,0.4758727252483368,0.007325589656829834
38,iTransformer,0.46787217259407043,PatchTST,0.4687671661376953,0.0008949935436248779,DLinear,0.47634923458099365,0.008477061986923218
39,TimesNet,0.46837323904037476,iTransformer,0.47029444575309753,0.0019212067127227783,DLinear,0.4795010983943939,0.011127859354019165
40,PatchTST,0.4643508791923523,iTransformer,0.4708348214626312,0.006483942270278931,DLinear,0.478902131319046,0.014551252126693726
41,PatchTST,0.4575386941432953,TimesNet,0.47063928842544556,0.013100594282150269,DLinear,0.47526314854621887,0.017724454402923584
42,TimesNet,0.47174009680747986,DLinear,0.4742546081542969,0.0025145113468170166,DLinear,0.4742546081542969,0.0025145113468170166
43,PatchTST,0.46912819147109985,iTransformer,0.4706125855445862,0.0014843940734863281,DLinear,0.48153313994407654,0.012404948472976685
44,PatchTST,0.46907997131347656,TimesNet,0.472877562046051,0.003797590732574463,DLinear,0.4791196584701538,0.010039687156677246
45,TimesNet,0.4713362157344818,iTransformer,0.47222259640693665,0.000886380672454834,DLinear,0.4808256924152374,0.009489476680755615
46,iTransformer,0.46688583493232727,TimesNet,0.47270116209983826,0.005815327167510986,DLinear,0.4795643985271454,0.012678563594818115
47,iTransformer,0.4652312099933624,PatchTST,0.46850845217704773,0.0032772421836853027,DLinear,0.48107659816741943,0.015845388174057007
48,iTransformer,0.4678376019001007,TimesNet,0.47383394837379456,0.005996346473693848,DLinear,0.4777522385120392,0.009914636611938477
49,TimesNet,0.47450125217437744,iTransformer,0.47515711188316345,0.0006558597087860107,DLinear,0.47659483551979065,0.002093583345413208
50,iTransformer,0.472164511680603,TimesNet,0.4763573110103607,0.00419279932975769,DLinear,0.48179611563682556,0.009631603956222534
51,iTransformer,0.4733591675758362,TimesNet,0.4776974320411682,0.004338264465332031,DLinear,0.4813232421875,0.007964074611663818
52,PatchTST,0.46362876892089844,TimesNet,0.47593462467193604,0.012305855751037598,DLinear,0.47864437103271484,0.015015602111816406
53,PatchTST,0.47191256284713745,TimesNet,0.47320401668548584,0.0012914538383483887,DLinear,0.47669729590415955,0.004784733057022095
54,TimesNet,0.4741305410861969,DLinear,0.47446712851524353,0.00033658742904663086,DLinear,0.47446712851524353,0.00033658742904663086
55,TimesNet,0.4713491201400757,iTransformer,0.47429460287094116,0.0029454827308654785,DLinear,0.4815894663333893,0.010240346193313599
56,TimesNet,0.47064757347106934,iTransformer,0.47086265683174133,0.00021508336067199707,DLinear,0.4801311492919922,0.009483575820922852
