window_index,DLinear,PatchTST,iTransformer,TimesNet
0,0.3975002468,0.2975694537,0.2709728777,-0.09110176563
1,0.4719442725,0.2579931319,0.4381261468,0.06320462376
2,0.5543045998,0.2694611847,0.01558384392,-0.01047431212
3,0.4079044759,0.340923965,-0.05102722347,0.06552605331
4,0.2217225879,0.2123524398,0.1283382922,-0.1698087305
5,0.2484160066,0.2035179138,0.1489175111,-0.3362282515
6,0.3963482082,-0.1287008077,-0.1163640395,0.1496991366
7,0.4738574922,0.4998475909,0.05771377683,-0.1606464088
8,0.3534419239,0.2024158388,0.101389572,-0.08431943506
9,0.237593472,0.1223875731,0.1115282327,0.2137302905
10,0.3666676581,0.1907347143,-0.1772498339,0.1287687123
11,0.3907107115,-0.05553073809,0.08333984017,0.2936574519
12,0.2702353001,0.1116356328,-0.1098854914,0.6730783582
13,0.242630288,0.350731045,0.1199454293,0.2043058276
14,0.2448483557,0.2380569279,0.006830815692,-0.08409263939
15,0.1857204288,0.1112399325,-0.2016295791,0.03240267932
16,0.2387299836,0.2445936501,-0.03566042334,0.1165315509
17,0.168716073,0.2190365493,0.2913651466,0.1698744148
18,0.1645939946,0.3279916644,0.2120779753,0.04094270244
19,0.2855083644,-0.2692182958,0.1906929761,0.125619337
20,0.3317602575,0.477740556,0.06661015749,0.2680625021
21,0.3935718536,-0.06282366812,0.0879534781,-0.008313634433
22,0.3459772766,0.3490149677,0.2895432711,0.09379281849
23,0.1924672276,0.2257130146,0.3732222915,-0.07571314275
24,0.262334615,0.3003549576,-0.06454341859,-0.08433475345
25,0.2297651917,0.002904466121,0.2949236333,0.1208338886
26,0.1273950189,0.3164228201,0.264408946,-0.3644436598
27,0.04719682783,0.2822109163,0.2154424787,0.01615444198
28,0.09592778981,0.08179354668,0.2040560842,0.05156158656
29,0.1743792593,0.1051959991,-0.03360931203,0.2213886231
30,-0.00356045505,-0.22541821,0.2737328112,0.1067026109
31,0.1369649321,-0.06752433628,0.1376465559,-0.1313876212
32,-0.0508024022,-0.01569021866,-0.07384378463,0.04047819972
33,0.1715105474,0.310934633,0.1768745631,-0.1107246801
34,0.2130099088,-0.1373411864,-0.09075383842,-0.151206255
35,-0.1061268374,0.05802027136,-0.1679747999,-0.1478678137
36,0.1752659082,0.1688683927,-0.008303727023,0.1585164219
37,0.01919940859,0.1266190112,0.1532282233,0.09576723725
38,0.03327474743,0.1372622848,0.2858692408,-0.3579076827
39,0.06607331336,-0.2052476555,0.0556124337,0.2021204829
40,0.2012545913,-0.1812731028,0.4293193519,-0.2644737959
41,0.1191996112,-0.009184452705,-0.1426557004,-0.1209541634
42,0.1144577786,-0.1737724245,-0.06913886964,0.2124100327
43,0.02099122852,0.06803897023,0.01267285831,-0.3463841975
44,0.06376741081,-0.135265857,0.3431255817,0.1255439967
45,-0.0436184369,-0.2037062943,0.09673076868,0.05354108289
46,0.03453238681,0.04469388351,-0.004174342845,0.2352527231
47,-0.1439804733,-0.1468959451,0.2162846625,0.106530264
48,-0.01413271762,0.2474167794,0.1274528205,-0.372492671
49,-0.04317156225,-0.1116493493,0.02245089039,-0.03805151954
50,0.06354427338,0.02847702429,0.07950183749,-0.04514114186
51,0.2235360891,-0.1053921431,0.2591436207,0.2079107612
52,0.1249369979,0.3416157067,0.2556007802,-0.1298216432
53,0.1513180286,0.190010339,0.3217169642,-0.2386622578
54,0.2988153398,0.4022306204,-0.1375681609,-0.254701972
55,0.3436135054,0.009552798234,-0.09356170893,0.1636454165
56,0.2057263702,-0.02549391985,-0.06894550472,-0.170101881
57,0.06901018322,0.09123851359,-0.2931951582,0.06433302909
58,-0.01991108246,0.2876591682,0.2605325282,0.09232373536
59,0.01164343674,0.3696524203,-0.2841645181,-0.1760296077
60,-0.008816457354,-0.2111347318,-0.1094884351,0.08846481144
61,0.02558998391,-0.01784349419,0.2391325235,0.2649164796
62,-0.1218022779,-0.03195042163,-0.2982630432,-0.1576377302
63,-0.1339841485,0.06392140687,-0.2603525519,-0.1051910147
64,-0.1293450743,0.1863749027,0.06863927096,0.06646057218
65,0.06096803024,-0.05349904299,-0.05114973336,-0.06339295208
66,0.1061226204,-0.2226138115,0.2423586398,0.5273584723
67,0.2455714047,0.1062345207,0.0420262292,0.5505837202
68,-0.2314979136,0.2514349222,0.1666751355,-0.3894325197
69,0.0008960286505,-0.138320595,0.009532378986,0.07437685877
70,0.04390433803,0.0005079192342,-0.09077677876,-0.1320054829
71,0.2053562403,0.057260409,-0.1299954802,-0.1372855902
72,0.06746184081,-0.0780762583,0.2492126673,0.3309660554
73,0.2385948449,0.2290328592,0.2846830189,0.2428713441
74,0.04455641285,0.2987015247,0.09126787633,0.2060979903
75,0.1946956664,0.05254239216,0.2262292355,-0.1258157343
76,0.09601823241,0.1498289853,0.1526965052,-0.1443242282
77,0.1223390475,0.20873712,0.02379551902,-0.3012422323
78,0.1384665221,-0.3298145533,0.286334455,-0.2437463552
79,-0.08599505574,0.0102081364,0.1223441511,-0.1229014173
80,0.1187777221,0.2538875937,-0.2169241756,-0.01673200913
