window_index,ClassPrior,Centroid,DiagGaussian,LinearSoftmax
358,1.145593727,1.117570672,12.69841974,1.136573914
359,0.8828884824,1.121825041,7.357068167,0.8387741989
360,0.9923496161,1.121606881,8.468725442,0.9252330766
361,0.8610316867,1.10858804,7.927331649,0.8094244836
362,0.8566393642,1.116453813,7.192804384,0.8043934067
363,0.9529515799,1.111083446,8.603091972,0.9096832129
364,0.9704691997,1.111689054,9.063930367,0.9089823104
365,0.8829091505,1.118994263,8.373973425,0.8520502306
366,0.9047910432,1.111978274,7.433641047,0.8469313415
367,0.7865866007,1.118804976,5.932160232,0.7439853736
368,0.6815074554,1.107176249,3.871784806,0.5944853616
369,0.5501526186,1.118064754,0.9920286999,0.430594437
370,0.5764283101,1.122582183,1.725691113,0.4710089315
371,0.8828988164,1.121996012,5.896291705,0.8653634037
372,1.036160643,1.107664811,10.32785317,1.020531467
373,0.9617140806,1.111583495,8.510002616,0.9628848416
374,0.9223130918,1.105063151,6.96065324,0.8735898351
375,0.6946386578,1.127680254,5.104297334,0.5849910218
376,0.6464795973,1.119235138,2.986120771,0.5454207779
377,0.882901769,1.116425819,8.122233281,0.8390471469
378,0.8216026483,1.116359644,6.139560996,0.7882050763
379,0.7778300052,1.116491377,5.743617323,0.7320353173
380,0.7165146453,1.126240201,4.624845765,0.6685323459
381,0.8478783398,1.112730206,6.61296443,0.7998214243
382,0.7734435879,1.126772779,5.692201263,0.8004923598
383,0.8259890657,1.114887979,6.757932498,0.8023095627
384,0.6420990852,1.128305589,4.323439824,0.5712258152
385,0.8434874936,1.130754455,6.444934882,0.8184384546
386,1.009876094,1.123576563,10.35907942,0.9862241037
387,0.9047999009,1.120028084,8.716953729,0.8728058032
388,0.7471649438,1.118262982,4.913868985,0.662013486
389,0.8741289343,1.115705524,7.145372085,0.8137152382
390,0.6902625745,1.136624795,3.941562244,0.7227507595
391,0.9047880906,1.117174784,7.433299845,0.8638138803
392,0.8172177073,1.1230798,6.789214085,0.810068158
393,0.7909818758,1.123658153,4.797466542,0.8134320859
394,0.7865777429,1.119979085,5.315763644,0.7669889301
395,0.7296606107,1.121830306,4.527608565,0.7472858708
396,0.7296635633,1.115550451,5.192628378,0.685296757
397,0.7778373867,1.118398307,5.846546058,0.7830860587
398,0.7121518487,1.12423065,4.190301248,0.7111242884
399,0.6377215256,1.120180268,3.055558789,0.6321282598
400,0.6289664065,1.126971755,2.500077549,0.6188765385
401,0.6771151329,1.12058171,4.258781156,0.6395674034
402,0.5720448454,1.119476758,1.788925097,0.506687337
403,0.7252845274,1.109513312,4.792904324,0.7324908438
404,0.7997251845,1.106412503,6.14800097,0.7549910161
405,0.7559274444,1.113752019,5.412527535,0.7068779799
406,0.7296591344,1.143465974,7.623403354,0.7222778244
407,0.8741628891,1.122133984,6.515103381,0.8165050722
408,0.7865851244,1.134705657,8.081563187,0.7297499727
409,0.6858835387,1.132910257,5.498118374,0.6309334632
410,0.5370169873,1.147595773,5.348925363,0.4659365627
411,0.6245829417,1.14374768,4.3605821,0.5340131798
412,0.6858997779,1.137702572,3.807151981,0.6676928506
413,0.5238872612,1.135777787,1.303347198,0.3435495877
414,0.6202068584,1.136200528,3.166577396,0.4958195089
415,0.5983102028,1.128702588,3.388542404,0.4690082833
416,0.9398174249,1.110965318,8.790979192,0.9347491741
417,0.9748526644,1.114443273,8.405027145,0.9505652848
418,0.9266847462,1.119524063,8.389985998,0.9132939019
419,1.036138498,1.103804864,8.815088908,0.9679761151
420,1.167497764,1.101504938,10.2326477,1.143818095
421,1.224398657,1.099327745,10.28565575,1.113108471
422,1.149987526,1.097008111,12.26074843,1.131601727
423,1.281348268,1.09431173,12.01021571,1.229605332
424,1.202528575,1.103985593,11.19578706,1.162486571
425,1.255069624,1.092921594,10.85509566,1.217296151
426,1.263812932,1.09575012,12.41690246,1.184274782
427,1.132464001,1.095172647,11.08894311,1.111605704
428,0.9398233301,1.075791164,9.551805677,0.9298119203
429,0.9179399611,1.071529704,8.975954178,0.9170689738
430,1.023014678,1.082709456,10.94331393,1.029268496
431,1.053651689,1.082414966,11.32093899,1.045942174
432,0.9967596541,1.078301569,11.15624545,0.9687402091
433,0.9223057103,1.072449846,9.830853793,0.9002169577
434,0.7734317775,1.064531334,6.403358647,0.7512597975
435,0.9485814018,1.075486011,9.380736277,0.9103601888
436,0.8610184,1.068358191,7.43447686,0.8050499496
437,0.7603212432,1.060856314,6.485055272,0.763348756
438,1.031777178,1.080435574,11.38327592,1.026958493
