window_index,DLinear,PatchTST,iTransformer,TimeMixer
0,0.59375,0.5104166865,0.6041666865,0.4895833433
1,0.5520833135,0.4791666567,0.4791666567,0.4895833433
2,0.4479166567,0.5208333135,0.46875,0.4895833433
3,0.4583333433,0.5,0.53125,0.5208333135
4,0.5833333135,0.4895833433,0.5,0.5416666865
5,0.5520833135,0.4166666567,0.4791666567,0.5416666865
6,0.53125,0.4479166567,0.4791666567,0.5104166865
7,0.5625,0.5208333135,0.4895833433,0.46875
8,0.5208333135,0.4479166567,0.53125,0.5
9,0.4583333433,0.53125,0.4791666567,0.4791666567
10,0.5416666865,0.4791666567,0.4791666567,0.4895833433
11,0.4895833433,0.4583333433,0.40625,0.5104166865
12,0.4166666567,0.4791666567,0.4895833433,0.5104166865
13,0.5104166865,0.4791666567,0.4375,0.4895833433
14,0.4375,0.4895833433,0.46875,0.4791666567
15,0.5208333135,0.4895833433,0.46875,0.4895833433
16,0.5104166865,0.53125,0.5,0.4479166567
17,0.4791666567,0.5520833135,0.5,0.5208333135
18,0.5208333135,0.53125,0.5208333135,0.53125
19,0.5104166865,0.4895833433,0.5,0.6145833135
20,0.5729166865,0.4895833433,0.5104166865,0.5520833135
21,0.5520833135,0.5,0.4479166567,0.46875
22,0.5,0.4895833433,0.5,0.5208333135
23,0.5,0.5,0.4270833433,0.4895833433
24,0.4270833433,0.5104166865,0.4895833433,0.4895833433
25,0.4375,0.5,0.4791666567,0.46875
26,0.4375,0.4895833433,0.53125,0.5104166865
27,0.4895833433,0.4895833433,0.4895833433,0.4583333433
28,0.5208333135,0.4895833433,0.5,0.4791666567
29,0.5104166865,0.4895833433,0.5208333135,0.4895833433
30,0.5,0.4895833433,0.4791666567,0.4895833433
31,0.4479166567,0.4895833433,0.4791666567,0.4895833433
32,0.4895833433,0.4895833433,0.5208333135,0.4583333433
33,0.4895833433,0.4895833433,0.4791666567,0.4791666567
34,0.4479166567,0.4895833433,0.5,0.4895833433
35,0.4270833433,0.4895833433,0.4895833433,0.4791666567
36,0.5,0.4895833433,0.4895833433,0.4583333433
37,0.46875,0.5,0.5208333135,0.5104166865
38,0.40625,0.5,0.4791666567,0.4479166567
39,0.46875,0.4895833433,0.4791666567,0.46875
40,0.46875,0.4895833433,0.5,0.5104166865
41,0.4583333433,0.4791666567,0.4791666567,0.4791666567
42,0.4375,0.4791666567,0.5,0.4895833433
43,0.4166666567,0.4791666567,0.4791666567,0.4791666567
44,0.4270833433,0.4791666567,0.4791666567,0.4791666567
45,0.5104166865,0.4895833433,0.5,0.4895833433
46,0.4479166567,0.4895833433,0.46875,0.4583333433
47,0.4375,0.4895833433,0.4791666567,0.4791666567
48,0.46875,0.4895833433,0.4895833433,0.46875
49,0.4166666567,0.4895833433,0.5104166865,0.5
50,0.5208333135,0.5,0.5,0.5104166865
51,0.4479166567,0.4895833433,0.5,0.4895833433
52,0.4583333433,0.4895833433,0.4895833433,0.4895833433
53,0.4895833433,0.4895833433,0.4895833433,0.4895833433
54,0.4583333433,0.4895833433,0.4895833433,0.4895833433
55,0.4791666567,0.4895833433,0.46875,0.4895833433
56,0.4583333433,0.4895833433,0.4895833433,0.4895833433
57,0.46875,0.5,0.4895833433,0.5104166865
58,0.4583333433,0.5104166865,0.5104166865,0.5104166865
59,0.4791666567,0.5104166865,0.53125,0.5
60,0.4270833433,0.5,0.5,0.5
61,0.46875,0.5,0.5,0.5208333135
62,0.46875,0.4895833433,0.5208333135,0.4895833433
63,0.4166666567,0.5,0.5,0.4791666567
64,0.4375,0.4895833433,0.4895833433,0.5
65,0.4583333433,0.4895833433,0.5,0.4895833433
66,0.5104166865,0.5,0.5208333135,0.5104166865
67,0.4791666567,0.5,0.5,0.4895833433
68,0.4583333433,0.5,0.4791666567,0.4895833433
69,0.5104166865,0.5,0.5208333135,0.5104166865
70,0.4791666567,0.5,0.5104166865,0.5104166865
71,0.4479166567,0.5,0.4791666567,0.5
72,0.4375,0.5,0.5,0.5
73,0.53125,0.5,0.5,0.5104166865
74,0.5208333135,0.5104166865,0.4791666567,0.5104166865
75,0.4270833433,0.5104166865,0.5104166865,0.5104166865
76,0.4270833433,0.5104166865,0.53125,0.5104166865
77,0.5104166865,0.5104166865,0.5104166865,0.5104166865
78,0.4895833433,0.5208333135,0.5208333135,0.5208333135
