window_index,DLinear,PatchTST,TiDE,TimeXer
0,0.06003813818,0.03456843272,0.03282483667,0.03508695588
1,0.05990840495,0.03534856066,0.03333937749,0.03343351558
2,0.0595343411,0.03706222773,0.03301142901,0.03356721625
3,0.0602628924,0.03642323986,0.03319777921,0.03330168873
4,0.05991242826,0.03625450656,0.03310404345,0.0339772813
5,0.05889258906,0.03794877604,0.03350614384,0.03605058417
6,0.05895288661,0.03734689951,0.03344705328,0.03584257141
7,0.05888697878,0.0371199511,0.03418107703,0.03533006087
8,0.0592061691,0.03700605035,0.03437082469,0.03481549397
9,0.05964353681,0.03671435267,0.03469089419,0.0341184102
10,0.05836589262,0.03657357395,0.03426104411,0.03374237195
11,0.05813166127,0.03474999592,0.03387629986,0.03434383497
12,0.05789324269,0.03506924212,0.03381698206,0.03609823808
13,0.05741589144,0.03658672795,0.03412868083,0.03623469546
14,0.05985856056,0.03705479205,0.03513590619,0.03555949032
15,0.06092355773,0.03712007776,0.03620957211,0.03602105752
16,0.05935328081,0.03772868589,0.03502689674,0.03700432926
17,0.05867895484,0.03907938674,0.03551142663,0.03834151849
18,0.05941826105,0.0404166691,0.03573728725,0.03846758977
19,0.05895397067,0.03874364868,0.03592933342,0.03829037771
20,0.06020614505,0.03875066712,0.03660365194,0.03837208077
21,0.06017410755,0.03977981582,0.03684605286,0.03888330981
22,0.06132534146,0.04040068761,0.03778745607,0.03888203576
23,0.06035156921,0.0398006849,0.03765820339,0.03979660198
24,0.05777706206,0.03775957599,0.03602397814,0.04005340114
25,0.05697317421,0.03731024638,0.03565748781,0.03913063183
26,0.05492985249,0.03679666296,0.03472898155,0.03911786899
27,0.0542079322,0.0354286693,0.0344193317,0.03984040394
28,0.05296593904,0.03500464186,0.03462321684,0.0397340022
29,0.0521531105,0.03551316634,0.03484369814,0.04157856479
30,0.05135736987,0.03599844128,0.0348970741,0.0432818383
31,0.05063902959,0.03725779057,0.03510013595,0.04726080969
32,0.04997831956,0.03903943673,0.03523605689,0.04853994772
33,0.04866607115,0.03964003548,0.0357067436,0.04989285395
34,0.04791192338,0.04006298259,0.03584610298,0.04847776517
35,0.04837354645,0.03704363853,0.03573088348,0.04254925251
36,0.047239732,0.03940140828,0.03624891862,0.04158471152
37,0.04654192924,0.03984043747,0.03706650063,0.04545453191
38,0.04718980193,0.03830094635,0.03618456423,0.04767622054
39,0.0477004014,0.03804625943,0.03568150103,0.04835960269
40,0.0476578027,0.03885242715,0.03617339209,0.04886736348
41,0.04751341417,0.0391320698,0.0362817198,0.04687187076
42,0.04810116813,0.03854570165,0.03591838479,0.04327360913
43,0.04765613005,0.03796792403,0.03606070206,0.04369138554
44,0.04776850343,0.03944515809,0.03649729118,0.04054348543
45,0.04745529592,0.0408288613,0.03658066317,0.03981880844
46,0.04737347737,0.04094476625,0.03677277267,0.04200147465
47,0.04747614637,0.03983495757,0.0366393365,0.04670809209
48,0.04795487598,0.04009353742,0.03706796095,0.04968912527
49,0.04790858552,0.03918132558,0.03727212548,0.05217676982
50,0.0479910709,0.03793733194,0.03747896478,0.05292566493
51,0.04800147936,0.03723117709,0.03753884137,0.0509223938
52,0.04738067091,0.0386599265,0.03893335536,0.05238296464
53,0.0477106832,0.03777812049,0.03770684078,0.05212814733
54,0.04837984964,0.03721508756,0.0366024673,0.04857568815
55,0.04880435765,0.03653269634,0.03534061834,0.04660348594
56,0.04944138229,0.03626823425,0.03586284444,0.04499765113
57,0.05097261071,0.03520933911,0.03592604026,0.04194274917
