window_index,DLinear,PatchTST,iTransformer,TimeMixer,ZeroPred,Persistence,HAR_EWM
0,0.5298351645,0.5330201983,0.5228978395,0.5396277308,0.5297994018,0.5997528434,0.5997528434
1,0.5550849438,0.542447567,0.612755239,0.5473361611,0.550757587,0.6124977469,0.6124977469
2,0.5549659133,0.5290985703,0.609005034,0.5667277575,0.5499795079,0.5542709827,0.6027812958
3,0.5796708465,0.587647438,0.8187875152,0.615450561,0.5557796359,0.664652288,0.5900970101
4,0.5520775914,0.5656533837,0.660179615,0.5612131357,0.5579108,0.8143386841,0.607834518
5,0.5499948859,0.6132408381,0.594710052,0.5865829587,0.5587849021,0.5952106118,0.6123562455
6,0.5562168956,0.6381544471,0.7725198865,0.5324393511,0.5573280454,0.6601125002,0.6169962883
7,0.5606639981,0.6940991282,0.5849245191,0.5329183936,0.5603553653,0.582885921,0.6233717799
8,0.5261464119,0.6235887408,0.6876044869,0.5399154425,0.5513401628,0.6758422852,0.5995571613
9,0.5229807496,0.5061197877,0.6647545695,0.5901055932,0.5458171964,0.6317679286,0.5818156004
10,0.5521708727,0.5294353366,0.7157505155,0.6009287834,0.5610339046,0.7157446742,0.5926957726
11,0.5466883779,0.598346293,0.6964023709,0.6371849179,0.561203599,0.5581008792,0.5906412005
12,0.54632622,0.5529444814,0.6819035411,0.6110773683,0.5632461905,0.7717248797,0.5861296058
13,0.5670898557,0.5390012264,0.5565175414,0.6107842922,0.584575057,0.7391288877,0.6039295793
14,0.5785377026,0.5961872935,0.691280663,0.6111023426,0.6019284129,0.7182959914,0.6175771356
15,0.6370632648,0.6195416451,0.7124902606,0.6623895764,0.5913670659,1.360009193,0.5973793864
16,0.6352343559,0.5768877268,0.7134921551,0.6700580716,0.6143670082,0.8449872136,0.6158792377
17,0.6740153432,0.6227725744,0.7653873563,0.6845788956,0.6366650462,1.05953753,0.6322247386
18,0.6818378568,0.7261708379,0.6167082191,0.5442714691,0.7386105061,1.466093659,0.7394673824
19,0.7590270042,0.71520859,0.7194401622,0.5899762511,0.7826635242,0.910150528,0.773624599
20,0.8860166073,0.7749400139,0.7562157512,0.6609695554,0.8505444527,1.171166897,0.8274542689
21,0.7960879207,0.7007766366,0.2530065477,0.5621035099,0.6213879585,9.534430504,0.6493808031
22,0.7957194448,0.8709155917,0.5179426074,0.6419600844,0.6679821014,1.636383057,0.7184213996
23,0.8908879161,1.164609909,0.5088832974,0.6645669341,0.7768961787,1.040912509,0.8397560716
24,0.8512701988,0.8319334984,0.9633162618,0.7059960365,0.8306953311,0.6899545789,0.881216526
25,0.9745154977,1.221932292,0.5798671842,0.7731963992,0.8124095798,2.192893028,0.8915963769
26,0.9974829555,0.9521074295,0.6612917781,0.7822141051,0.8822014928,1.022805333,0.970449388
27,1.146307111,1.270496964,1.059263468,0.7700801492,0.9145109057,1.923110604,1.031423211
28,1.057529569,1.040470362,1.028631091,0.8147194386,1.011414528,0.5178236961,1.109011173
29,1.136770606,1.073280215,0.9828622937,0.7801979184,1.080889344,0.8156687617,1.172054648
30,1.140854001,1.104373813,1.073367,0.7669744492,1.108533263,0.8974416852,1.193116188
31,1.082613826,1.039453745,1.21319437,0.6819853783,1.123926997,0.7334759831,1.193563938
32,1.272719979,1.335463524,1.036350846,0.9288315177,1.229801774,1.191289902,1.301414609
33,1.313194752,1.46619606,2.421684504,0.9745974541,1.287150979,1.521416068,1.367293954
34,1.050558329,1.142481208,1.274123311,0.7478343844,1.261920929,0.4222894907,1.294830203
35,1.125995517,1.287255287,2.008615255,0.9519513249,1.263908267,1.391764998,1.299223542
36,1.000362515,1.158467412,0.9228842854,0.8431063294,1.272333026,0.5216063261,1.275034785
