window_index,DLinear,PatchTST,iTransformer,TimeMixer,FreTS,TimeXer,ZeroPred,Persistence,HAR_EWM
307,0.5148378015,0.5161737204,0.5125134587,0.5154623389,0.5080447793,0.5119395256,0.508554101,0.5106749535,0.5341649055
308,0.5192526579,0.5082809925,0.51237607,0.50596416,0.5085622072,0.5117893815,0.5070085526,0.6896984577,0.5261541009
309,0.5227437615,0.5092815757,0.5194247961,0.5132797956,0.5086340308,0.5076277852,0.5063273311,0.802441895,0.529276967
310,0.5113970041,0.5079255104,0.4973882437,0.5007641912,0.5018343925,0.4986717105,0.4997931123,1.454564571,0.5118951797
311,0.5158234239,0.506587863,0.512445569,0.5083640218,0.5034660697,0.4994465113,0.5045468211,0.6558362246,0.5196424127
312,0.5574833751,0.5503453016,0.5572111011,0.5415323973,0.5498373508,0.554076612,0.5473008156,0.7167187333,0.5672846437
313,0.5415786505,0.5447452068,0.5410603285,0.5398188829,0.535938561,0.5325260162,0.536586225,3.056482315,0.5417237878
314,0.5424730778,0.5342751145,0.530315578,0.5266991854,0.5315924883,0.5308171511,0.534044385,0.911401391,0.5346832871
315,0.5311865807,0.5219367146,0.5221338868,0.5194953084,0.5238276124,0.5190129876,0.5247265697,2.359209061,0.5203043818
316,0.5276930928,0.5248687863,0.5145885944,0.5292333961,0.5296815038,0.5207850337,0.5247966051,0.5557257533,0.5207592249
317,0.5305258632,0.5224167109,0.5229233503,0.5231841803,0.5289269686,0.5197418928,0.5257797241,0.5231155157,0.5213583708
318,0.5361024141,0.5245301723,0.5238768458,0.5169916749,0.5251737237,0.517788589,0.5252656341,0.7084075212,0.5204125047
319,0.524205327,0.5264948606,0.5221592784,0.5223995447,0.5287531614,0.5216940045,0.5260858536,0.8976747394,0.5223716497
320,0.5280300975,0.5216037035,0.5258443952,0.5198357105,0.5207186937,0.5210182667,0.5212373137,1.321765542,0.5170069933
321,0.5250448585,0.5194507241,0.5198251605,0.5124322176,0.5197826624,0.5191728473,0.5208954215,0.6336844563,0.5166288018
322,0.5224058628,0.5166580677,0.5140646696,0.5212828517,0.5241761208,0.5189591646,0.5210049152,0.5256091356,0.5167286396
323,0.5246251225,0.5166801214,0.5193248987,0.5171427727,0.5198143125,0.5287396908,0.5209015012,0.8605712056,0.5171769261
324,0.5345023274,0.5251563787,0.521550715,0.5227327943,0.5216279626,0.5226948261,0.5211089849,1.481134653,0.5206059813
325,0.5269290209,0.5185124278,0.5225348473,0.5226992369,0.5236822963,0.5148546696,0.52097404,0.5728071332,0.5197741389
326,0.5293200612,0.5175657868,0.5173028708,0.5185395479,0.5236875415,0.5125921369,0.5207089782,0.6313058734,0.5184673667
327,0.5259724855,0.5194020867,0.5255539417,0.5207510591,0.5225738287,0.5157795548,0.5205687284,0.5655180812,0.5179961324
328,0.5269967914,0.5209764838,0.5245354772,0.5170170069,0.5199990273,0.5226916075,0.5213900805,0.5310003161,0.518966496
329,0.5286684036,0.517591238,0.5287703276,0.5169239044,0.5173567533,0.5220842957,0.5199483037,0.8885935545,0.5172337294
330,0.5266344547,0.518594861,0.5285288692,0.5136623979,0.5172694325,0.5208737254,0.5205809474,0.9349122047,0.5180247426
331,0.5372819901,0.5298306346,0.5309874415,0.5279561281,0.5350466371,0.5365352631,0.5297629237,0.5305877924,0.5266035199
332,0.5373910069,0.5279025435,0.5285518765,0.5290310979,0.5319836736,0.5365481377,0.5310254693,0.5522575974,0.5279453397
333,0.545372963,0.5365704298,0.5358279943,0.5368052125,0.53264153,0.5342174172,0.535633266,0.6705114841,0.5323553681
334,0.548842907,0.5448952317,0.5403425097,0.5397229195,0.5447760224,0.5440550447,0.5451190472,0.5629130602,0.5425138474
335,0.5537536144,0.5434090495,0.5432898998,0.5462788939,0.544271946,0.5450760722,0.5457923412,0.577581048,0.5432123542
336,0.5506360531,0.5409638286,0.5409909487,0.5469921231,0.5464590192,0.5505161881,0.5468138456,0.6870880127,0.5449255109
337,0.5749280453,0.5676809549,0.5684350133,0.5691962838,0.5687780976,0.5631554723,0.5671647191,0.5735322237,0.5658156872
338,0.5843794942,0.576408565,0.576552093,0.5739602447,0.5702828169,0.583258152,0.5750732422,0.5991513133,0.5741346478
339,0.5861048102,0.574424088,0.574121356,0.5663580298,0.5728852153,0.5699526668,0.574565053,0.7894540429,0.5743996501
340,0.5886192322,0.5744416714,0.5803413987,0.5741255879,0.582472682,0.5747176409,0.5763029456,0.581461072,0.5759438872
341,0.572810173,0.5614055395,0.5683557987,0.5660830736,0.5668259859,0.5583354831,0.5632308125,2.834012747,0.5627541542
342,0.568588078,0.5686673522,0.5693537593,0.5557044148,0.5597755909,0.5626747608,0.5624160767,0.7316995859,0.5614037514
343,0.5645016432,0.5610741973,0.5662726164,0.5674128532,0.5592893958,0.559984684,0.5592758656,1.204720259,0.558494091
344,0.561175406,0.5623137951,0.5612484813,0.5572444201,0.5629599094,0.5628325343,0.5575125217,0.8319247365,0.5564596057
345,0.5648310781,0.5536795259,0.5598419905,0.5639466643,0.5589622259,0.5623263121,0.5587525368,0.669498086,0.5579100847
346,0.5668545365,0.5578936338,0.5603089929,0.5594559908,0.5562497973,0.5628272295,0.5586192012,0.8013811707,0.5582749248
347,0.5700361133,0.5649166107,0.5654310584,0.5622532368,0.5609589815,0.5683252215,0.5625540018,0.9384288788,0.5635094643
348,0.5746695399,0.5619907975,0.5637181997,0.5587934852,0.5607064962,0.5595200062,0.5626900196,0.67137748,0.5626651049
349,0.5174009204,0.5004368424,0.4960246682,0.5018365979,0.4994671643,0.4997357726,0.498046428,11.4288969,0.5034724474
350,0.5062171817,0.4937579632,0.5019257665,0.4994425178,0.5005028248,0.5012224913,0.4984375238,0.8344007134,0.5061846375
351,0.5045853853,0.4997419119,0.497846067,0.497856915,0.498221457,0.5080278516,0.4987407029,0.5667164922,0.5082296729
352,0.500687778,0.5007042885,0.5056264997,0.4955710471,0.4951072037,0.5049576759,0.4986978769,0.5130676031,0.5069392323
353,0.5115457177,0.4996038973,0.5012332201,0.5022383928,0.4995338023,0.5004054308,0.5000821352,0.5231633186,0.509498775
354,0.5160384178,0.5043792725,0.5005248189,0.4945195615,0.5029990077,0.5023742318,0.5033559203,1.139264226,0.5066299438
355,0.5080834627,0.5006172061,0.5060067177,0.5049502254,0.5032390356,0.5124832988,0.5022295713,0.8187448382,0.502969563
356,0.5047035217,0.5063256025,0.5000672936,0.498867929,0.5015061498,0.4987355769,0.5004355311,1.01050508,0.5042648315
357,0.5096963644,0.5035781264,0.4997238815,0.5025250912,0.50127846,0.5075132251,0.5005238652,0.530076623,0.5035540462
358,0.507427752,0.5004751086,0.4919444025,0.4969712198,0.5024344325,0.4984458387,0.5000880361,0.6478577256,0.5044004321
359,0.5104006529,0.5042204857,0.4936006665,0.4906633496,0.5035377741,0.499044776,0.4997750223,0.7565385103,0.5013487935
360,0.5240764022,0.5224076509,0.5153185129,0.523293972,0.5166773796,0.5176401734,0.5169855356,1.982124329,0.5267862678
361,0.5333075523,0.5367521048,0.5284751058,0.5261864662,0.527428031,0.5364149809,0.5296290517,0.5653896332,0.5419893861
362,0.5508503914,0.5496307611,0.5490144491,0.5422381163,0.5474742055,0.5424659252,0.5439556837,0.5496429205,0.5568655729
363,0.530896306,0.5167077184,0.5174292326,0.5152997375,0.5129560828,0.5235850215,0.5115141869,6.70026207,0.5477021337
364,0.5215222239,0.5205590725,0.5240263939,0.5266321301,0.5123523474,0.5298954248,0.5163188577,0.8069338799,0.5595661998
365,0.5266942978,0.5268452168,0.5223814845,0.5182077289,0.5160313845,0.524427712,0.5160961151,0.5485609174,0.5541747808
366,0.5201615691,0.5273135304,0.5266394019,0.5192065239,0.5188273191,0.5298978686,0.5179379582,0.6383647919,0.5483086705
367,0.5041815639,0.5163971782,0.5154834986,0.4999139905,0.4945701361,0.5160138011,0.4985091686,4.207999706,0.5545397997
368,0.4713683426,0.4700358212,0.4737835824,0.4671921134,0.4685604572,0.4824620187,0.4680587351,5.805103779,0.4919573963
369,0.481579721,0.4692187607,0.4802472293,0.476996243,0.4694438279,0.4741264582,0.468882978,0.4919619262,0.4923623502
370,0.4733572602,0.4718767405,0.4726848602,0.4706966877,0.4637991488,0.4753893018,0.4665124416,0.907520473,0.4956478775
371,0.4736922979,0.4845929742,0.4821211994,0.468516767,0.4715478122,0.4759833813,0.4695952237,0.6161820292,0.4916805029
372,0.4792283475,0.4795340896,0.4833338559,0.4700203836,0.4728240371,0.4781041741,0.4699493945,0.4780320525,0.4902118444
