window_index,DLinear,PatchTST,TiDE,TimeXer,ZeroPred,Persistence,HAR_EWM
2574,0.03600551561,0.01451352332,0.01272100676,0.0141107766,2.187111855,0.01473648753,0.01513943542
2575,0.03768725693,0.014158912,0.01290643215,0.01415878255,2.190747261,0.01505691092,0.01516077667
2576,0.03739748523,0.01423036307,0.01280895155,0.01453885902,2.192986727,0.01704277657,0.01528005768
2577,0.03842311352,0.01442889124,0.01238185167,0.01493427157,2.198141098,0.01892842539,0.01570414007
2578,0.03729749098,0.01646523923,0.01252321247,0.01454250235,2.199723482,0.03835042194,0.01599994861
2579,0.03930424899,0.01629461162,0.01299675554,0.01521264482,2.205327272,0.0285339728,0.01668511517
2580,0.04019657895,0.01542470884,0.01352961361,0.01477121189,2.209986925,0.02168447338,0.01709053852
2581,0.04180527851,0.01449592412,0.01370389666,0.0150924474,2.2162292,0.020083474,0.01761263423
2582,0.04168654606,0.0147491293,0.01441635191,0.0157109797,2.219820261,0.02209807374,0.01789733209
2583,0.04294035211,0.01490013022,0.01385031268,0.01546142995,2.22217536,0.01969160885,0.01777433604
2584,0.04274953529,0.0149913663,0.01472778898,0.01567418501,2.225595236,0.01763710566,0.01780510508
2585,0.04365099594,0.01475260686,0.01469592471,0.01560070645,2.228795767,0.0176566001,0.01787414402
2586,0.04521154985,0.01501237974,0.01491191238,0.015522887,2.234685659,0.01976441406,0.01796598732
2587,0.04538542032,0.01473633479,0.01517568063,0.016120838,2.237648726,0.01800974272,0.01804902963
2588,0.04438419268,0.01477563102,0.0155653907,0.01624691673,2.236663103,0.02284640633,0.0180609934
2589,0.04447106645,0.01460440736,0.01593728922,0.01711056568,2.233986378,0.02405151725,0.01807427593
2590,0.04476779699,0.01507179532,0.01628915966,0.01795275509,2.23086524,0.02198228054,0.01812486164
2591,0.04381714389,0.01590199955,0.01610306837,0.01789055578,2.227497101,0.0231463667,0.0181843508
2592,0.04289611056,0.01610021107,0.01628889143,0.01791239344,2.222233772,0.02734502219,0.01831481792
2593,0.04226385057,0.01614817232,0.01634426974,0.01766798086,2.217272997,0.02363151312,0.01849210821
2594,0.04199531674,0.01660440676,0.0166645851,0.01767323725,2.211559534,0.02804444917,0.01869312674
2595,0.04228442907,0.01649532653,0.0168029163,0.01769461296,2.207771301,0.0218695309,0.01882864721
2596,0.04200272635,0.01662700064,0.0171914082,0.01795030758,2.206306219,0.02295148559,0.01889008842
2597,0.04315742478,0.01576061733,0.01683995128,0.01753291674,2.204892397,0.01803287864,0.01889490522
2598,0.04287571833,0.01589114033,0.01699674688,0.01763199829,2.204412699,0.01839846931,0.01888388395
2599,0.04297527671,0.01620259881,0.01687806286,0.01800398901,2.203458071,0.01840830781,0.0188830588
2600,0.04338127375,0.01600379124,0.0161349643,0.01752721705,2.203458071,0.01840830781,0.01886798255
2601,0.04363709316,0.01572526433,0.01574604027,0.01670463383,2.202745676,0.01804325171,0.01885060035
2602,0.04385687038,0.0149323009,0.01554607321,0.01624772698,2.201127768,0.01766753383,0.01884770393
2603,0.04387493059,0.0154445814,0.01642608829,0.01688860916,2.197339535,0.01814183034,0.01906195469
2604,0.0454582274,0.01505442616,0.01597506553,0.01667342894,2.194218397,0.03141578659,0.01927398331
2605,0.04759078845,0.01520914491,0.01609233208,0.018051669,2.196267366,0.07102883607,0.01852235571
2606,0.04816953465,0.01568137109,0.01649301313,0.01960425079,2.197714567,0.06099693105,0.01804365031
2607,0.04841616377,0.01578730159,0.01631316543,0.0186703261,2.197714567,0.0746646598,0.01786590554
2608,0.04964094982,0.01610150002,0.01725650579,0.01817213558,2.196547747,0.07468678802,0.01804637723
2609,0.05075475201,0.01715408824,0.01837381534,0.02076466195,2.195004702,0.07472600788,0.018401796
2610,0.05045865849,0.01788723469,0.01844345592,0.02015475556,2.194221735,0.07473584265,0.01865526848
2611,0.05115300417,0.01931027509,0.01860062033,0.02160519361,2.191539526,0.06785578281,0.01939610206
2612,0.05138156191,0.01961222291,0.01924360171,0.02229411714,2.189548731,0.05529893935,0.01990556903
2613,0.05375031754,0.01975097321,0.01955736987,0.02388755977,2.189944983,0.07851033658,0.02012688108
2614,0.05521407351,0.02098804154,0.0203181766,0.02756197937,2.188773394,0.07130014151,0.0206681788
2615,0.05621874332,0.02133438922,0.02072827518,0.02794291638,2.186989069,0.05837425962,0.02126493491
2616,0.05912225321,0.02255894989,0.02229545079,0.03126901761,2.185071707,0.07488016039,0.02206617035
2617,0.0605032146,0.02614519186,0.02519950829,0.04090671614,2.183538437,0.07858926803,0.02284649573
2618,0.06233649328,0.02981384657,0.02776316553,0.04443747923,2.182014942,0.0823540464,0.02369284071
2619,0.06414432079,0.03156140819,0.02830182575,0.04462430999,2.183780432,0.09855222702,0.02411886118
2620,0.06360540539,0.03165794536,0.02749583684,0.04703706503,2.181850672,0.07154034823,0.02501205169
2621,0.06024553999,0.02750856616,0.02604339458,0.04476845637,2.177392244,0.03520546108,0.02569451928
2622,0.06023811176,0.02710991912,0.02631377615,0.04271363094,2.174672365,0.03360938653,0.02605431341
2623,0.05405442044,0.02474803291,0.02508846857,0.03100586869,2.166671753,0.02691502869,0.02573482692
2624,0.05160121992,0.02458112873,0.02528353035,0.02320070378,2.159750223,0.03238593042,0.02512768097
2625,0.05349766091,0.0266009625,0.02728103101,0.02571959607,2.152166605,0.02436781488,0.0252467189
2626,0.04836027324,0.02720675431,0.02662153542,0.02402200364,2.139091492,0.04937400296,0.02510563098
2627,0.04471591488,0.02920554578,0.02759379148,0.02673363499,2.123717308,0.06905256957,0.02506333031
2628,0.04313002154,0.03044990636,0.02882184088,0.03060296364,2.109117985,0.05710172281,0.02560242079
2629,0.04360234737,0.03203707933,0.0295267012,0.03065659851,2.097829342,0.03594800457,0.02642079443
2630,0.04238248244,0.03408574685,0.03045608662,0.03141806647,2.084295988,0.03861470148,0.02805031091
2631,0.04314753786,0.03378354385,0.03262284026,0.03237685189,2.074517727,0.02950312383,0.02953452617
2632,0.0401626043,0.03667465225,0.0335839279,0.03324972838,2.062214136,0.03868373111,0.03108653426
2633,0.03983758762,0.03638084605,0.0353198275,0.03435683623,2.051571608,0.03377461433,0.03266842291
2634,0.03958721831,0.03595338389,0.03610758111,0.03675511107,2.042306185,0.03363247588,0.03419029713
2635,0.03946875036,0.03595660627,0.03685751185,0.0366695635,2.035929918,0.0343269594,0.03489898518
2636,0.03779751062,0.03790503368,0.03768382594,0.03829571977,2.02614522,0.03773786128,0.03618879244
2637,0.0379207246,0.03983333334,0.03947130218,0.04179188237,2.016077042,0.03856477141,0.0376470238
2638,0.03782534972,0.04121492803,0.03976581246,0.04315621778,2.006239653,0.03939758614,0.03909474239
2639,0.03639470041,0.04392665252,0.04193760455,0.04627060518,1.994133353,0.05563087389,0.04055806622
2640,0.03244348988,0.04925959185,0.04702034593,0.05894985795,1.976782918,0.1459949166,0.0416004695
2641,0.03369298205,0.04892525449,0.04701100662,0.05832520127,1.962169051,0.08031760901,0.04351010919
2642,0.03354742751,0.04833363369,0.04611079022,0.05612695217,1.953378677,0.06005908176,0.04432443902
2643,0.03488209099,0.04530866444,0.04447216168,0.04988491535,1.954971194,0.0391225405,0.04404662549
2644,0.03456866369,0.04602763057,0.044803828,0.04909659922,1.955665231,0.04172791913,0.04396769404
2645,0.0347468406,0.04682561383,0.04455643892,0.04721428826,1.957791328,0.04264165089,0.04396045208
2646,0.03455135226,0.04720981792,0.04389790818,0.04488661513,1.958025098,0.04591813311,0.04401420429
2647,0.03241578117,0.04739980772,0.04460262135,0.04389119148,1.955331206,0.07525771111,0.04437421635
2648,0.03277983889,0.04735299572,0.04413374141,0.04642610252,1.954844117,0.05981986225,0.04465736076
2649,0.03504775837,0.04410989955,0.04288085178,0.04544813931,1.958881974,0.04038079828,0.0445628427
2650,0.03420559689,0.04582904652,0.04272772744,0.04725467786,1.960589409,0.05184866115,0.04480004311
2651,0.03334739432,0.04610892758,0.04303150997,0.05118486658,1.96034205,0.06940487772,0.04521461204
2652,0.03375493363,0.04588331655,0.04427846149,0.05144779012,1.962296605,0.05187872425,0.04545209929
2653,0.03260600567,0.04575670883,0.04443985596,0.05538645014,1.962793469,0.06428202242,0.04583904147
2654,0.03142769262,0.04602718353,0.04563441873,0.05541185662,1.961559653,0.07207638025,0.04624320939
2655,0.03215048835,0.0455785431,0.04540286958,0.05000701919,1.96276629,0.05021984875,0.04637537524
2656,0.03131712601,0.04795691371,0.04658272862,0.04585103691,1.962520599,0.05967409536,0.04664955661
2657,0.03017678857,0.05096521974,0.04697424173,0.04157498479,1.960605025,0.05971330404,0.0468981266
2658,0.02930276096,0.05419240519,0.04885549843,0.04476327077,1.957870841,0.08429142833,0.04739315435
2659,0.02914605476,0.0561167188,0.05236863717,0.05222631618,1.955546379,0.1100540236,0.04813823104
2660,0.03095976077,0.05276325718,0.04977341369,0.04682477936,1.957540154,0.05957879126,0.04849924147
2661,0.02981375903,0.05821678042,0.05465846136,0.05609386042,1.953454614,0.1142799184,0.0492301099
2662,0.03037355654,0.05457441509,0.05375094339,0.05515054986,1.951733589,0.07201553881,0.04964989424
2663,0.03162810206,0.05221075192,0.0510301441,0.04935293272,1.952442169,0.04525421932,0.04950490594
2664,0.03219672292,0.05486151576,0.05371924117,0.05041867867,1.95196104,0.05717376992,0.04968871549
2665,0.03221650422,0.05411107838,0.05387657881,0.05030917749,1.952204823,0.05937127396,0.0499304831
2666,0.03174476698,0.05349287763,0.05233988166,0.04839782789,1.950997949,0.05938659981,0.05014768243
2667,0.03116306849,0.05657469109,0.05547383055,0.05650863051,1.949037194,0.07206986845,0.05056493357
2668,0.03099175729,0.05684170127,0.05637929961,0.05850766227,1.945887923,0.072173208,0.05099083856
2669,0.03142778948,0.05631738901,0.05533160642,0.06056489423,1.943943024,0.06676724553,0.05132663622
2670,0.03224103153,0.0532268621,0.05440530181,0.06148983911,1.942477822,0.0667892769,0.05166001245
2671,0.03186432645,0.05244239047,0.05322011188,0.05710970238,1.938607812,0.0753820911,0.05214726552
2672,0.03191059455,0.05323146656,0.05344846472,0.05217528343,1.933088899,0.08197195828,0.05278249085
2673,0.03206727654,0.06235645711,0.0587130785,0.06211508438,1.927690983,0.1346767098,0.05382512137
2674,0.03243081644,0.06300350279,0.05786067247,0.06439226121,1.921388626,0.1256242692,0.05485444143
2675,0.0328714326,0.07198697329,0.06048431993,0.0752035901,1.912822127,0.1784114689,0.05626125261
2676,0.03293716908,0.07326685637,0.06146997213,0.07318353653,1.903003335,0.1364434361,0.05766545609
2677,0.03350139782,0.07660045475,0.06653979421,0.07855611295,1.889949799,0.158918038,0.05961039662
2678,0.03368778154,0.07303983718,0.06537784636,0.06792729348,1.878225684,0.1204159036,0.0613900125
2679,0.03341521323,0.06536310166,0.06094103679,0.0547937043,1.870513558,0.05491412804,0.06203955039
2680,0.03392577171,0.06958055496,0.0648092255,0.05392513052,1.860576272,0.0825592503,0.06338575482
2681,0.0343124792,0.07357718796,0.06670756638,0.06254261732,1.850784421,0.08730702847,0.06472415477
2682,0.03521622345,0.08783677965,0.07031620294,0.06972574443,1.840730071,0.1083361506,0.06623097509
2683,0.03516281024,0.09074457735,0.07098200917,0.07565998286,1.831341386,0.08920588344,0.06749785691
2684,0.0345694907,0.08851904422,0.06680077314,0.06986466795,1.824773669,0.0630935654,0.06792555004
2685,0.03429623321,0.07857742161,0.06262504309,0.05922619626,1.820280433,0.04810315371,0.06768607348
2686,0.03410049155,0.07372548431,0.06104479358,0.05489358306,1.816513181,0.04035862535,0.06709919125
2687,0.03418819234,0.06988831609,0.05849704146,0.05113400891,1.812960029,0.0405151844,0.066505678
2688,0.03425133601,0.06195654348,0.05505599082,0.04232605174,1.809917092,0.0332124047,0.06553336233
2689,0.03450426087,0.05889295414,0.05302888155,0.038512595,1.809031487,0.03102989495,0.0641560331
2690,0.034425769,0.05592416227,0.05353747681,0.04086488113,1.809933662,0.0310396608,0.06268299371
2691,0.03464144096,0.0528164953,0.05392497778,0.04002183303,1.809708238,0.03449646756,0.06160764024
2692,0.03537151217,0.05940337479,0.05727713183,0.04119378701,1.804285407,0.05659458041,0.06185747311
2693,0.03527897224,0.05727213621,0.05381927267,0.03807370737,1.802467942,0.04093202576,0.06125561893
