window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,ZeroPred,Persistence,HAR_EWM
0,0.4667111933,0.1600682735,0.3434316218,0.06720609218,0.2067961693,0.2257875204,0.4478252828,0.4478252828
1,0.4879051149,0.1411434859,0.4117052853,0.06830441207,0.205884397,0.2228823304,0.4486684799,0.4486684799
2,0.4960505068,0.1269999593,0.4731601775,0.06903880835,0.2057120055,0.2199086696,0.4883788526,0.4502687454
3,0.4548872411,0.1170273945,0.5678452849,0.06988167018,0.2062320858,0.2164411992,0.5534237027,0.4532412589
4,0.4757026136,0.1155813262,0.6537437439,0.0707661286,0.2081705779,0.2129430324,0.6007122993,0.4569993019
5,0.4150730669,0.1224482432,0.754235208,0.07197377086,0.2099430114,0.2092337757,0.6511991024,0.4616260529
6,0.473846674,0.1385567039,0.8985647559,0.07346954197,0.2126563638,0.2054486871,0.7320590019,0.4675792158
7,0.5150607824,0.1651283354,1.026747346,0.07522726059,0.215825364,0.2014692575,0.7899894118,0.4744461477
8,0.5362474322,0.196816206,1.09072113,0.07676064223,0.2181217223,0.1980190128,0.7904429436,0.4812704027
9,0.5124056339,0.2192800045,1.003643394,0.07886683196,0.2184453011,0.1951450855,0.678383112,0.485953927
10,0.5689165592,0.1982406825,0.5888231397,0.080518879,0.2145533413,0.1935373992,0.3584623337,0.4825953543
11,0.541693151,0.1579534411,0.2693114877,0.08094577491,0.2062460333,0.1931572706,0.1869966984,0.4697674513
12,0.5595240593,0.1140224859,0.1891660094,0.08081454784,0.1977165192,0.1933631152,0.2473288327,0.4468127191
13,0.5534435511,0.08122096211,0.3023022711,0.08048846573,0.1952488571,0.1941933483,0.4168777466,0.4202042818
14,0.5265384316,0.05992464349,0.5209745765,0.07578662038,0.1937554628,0.1953982264,0.6369119287,0.3912779987
15,0.5648248792,0.05789666995,0.7314894199,0.06773784012,0.1917142123,0.1971360892,0.8033542633,0.3632128239
16,0.60114187,0.0742232725,0.8602554202,0.0597977601,0.1895136088,0.198016271,0.8644908071,0.3359856308
17,0.6246979237,0.1005549803,0.6584615111,0.05635052919,0.1889828593,0.198935464,0.6124863625,0.3155865371
18,0.6200454235,0.1321208328,0.4619030654,0.05471291021,0.1897621602,0.1997285932,0.4011352062,0.3010513186
19,0.6287157536,0.1623759717,0.2696510255,0.05359989405,0.1906526238,0.2000343949,0.2344334126,0.2919082344
20,0.623244226,0.1843711585,0.1819697618,0.05282417312,0.1917946935,0.1998328716,0.1899043918,0.2876527607
21,0.6282601357,0.1900321394,0.1930785626,0.05253996328,0.1928213984,0.1990927607,0.2308957726,0.2862739265
22,0.6371036768,0.1819214225,0.2308624238,0.05196988583,0.1940144897,0.1980528682,0.2792488635,0.2863394618
23,0.6665443182,0.1682901382,0.2704180181,0.05096692219,0.1954876781,0.1970926672,0.3170883358,0.2871842384
24,0.6673121452,0.1535941362,0.3232180178,0.05020196363,0.1974188238,0.1959983706,0.3614723384,0.2889154851
25,0.6436454654,0.1388381571,0.409070015,0.04968087375,0.1996080428,0.1945382208,0.4309716225,0.2918332517
26,0.6087757349,0.1266745329,0.5185328126,0.04992075637,0.2027218491,0.1926588565,0.5122513771,0.2959300578
27,0.6068587899,0.1215908527,0.6021180153,0.04965798184,0.2064333558,0.1911144257,0.5573441386,0.3007626832
28,0.6329078674,0.123692058,0.6698157191,0.04898805544,0.2108445913,0.1897708625,0.5810684562,0.3060041368
29,0.633046329,0.1337450296,0.6869418025,0.04715476558,0.2160696238,0.1894943863,0.5574041009,0.3111973107
30,0.6781801581,0.1481409222,0.7329114079,0.0442799516,0.221901536,0.1897783726,0.557407856,0.3165444732
31,0.7277906537,0.1670254469,0.7818271518,0.04062202573,0.2276207954,0.1903531551,0.5574228168,0.3219409883
32,0.7627382278,0.1894346327,0.8328902125,0.03728249297,0.2309982032,0.1912261993,0.557456553,0.3273823857
33,0.7566987872,0.2022478133,0.7265336514,0.03399577737,0.2281561643,0.1925317198,0.4503505528,0.3307197392
34,0.816177547,0.1941563338,0.4933359325,0.03260611743,0.2213755846,0.1938873529,0.2904297411,0.3295086622
35,0.8641898036,0.1636064053,0.2465680093,0.03268900141,0.2129807919,0.1953923255,0.1867294461,0.3211378455
36,0.857706368,0.1319140196,0.1727146506,0.03431135789,0.205264926,0.1960092038,0.2152725905,0.3076320887
37,0.8346745968,0.1032707989,0.1873379201,0.03630115092,0.1983342171,0.1956542879,0.2797788084,0.2919730246
38,0.8818295598,0.07138440758,0.3315945268,0.03796127439,0.1899333,0.1938504428,0.4734258354,0.2718464136
39,0.9155206084,0.05849109218,0.5381347537,0.03940020502,0.1824951768,0.1909286529,0.6616068482,0.2500368357
40,0.9278885722,0.06630203873,0.5300712585,0.04022846743,0.1782286614,0.1891015321,0.5861734152,0.2334587574
41,0.9319746494,0.08851760626,0.4303809106,0.04106805101,0.176003933,0.1881027222,0.4338615835,0.2216046304
42,0.9372143745,0.117174454,0.32491678,0.04216213152,0.1748369783,0.1875286847,0.3026531339,0.2129084319
43,0.9286133647,0.1440372318,0.2420290858,0.04265659675,0.1746208221,0.1875542849,0.2168579102,0.2072330266
44,0.9625067711,0.1641282588,0.1901817471,0.04234207794,0.175181672,0.1881794482,0.1765202284,0.2041401416
45,0.9424750209,0.1740818024,0.17733334,0.04143105075,0.1763544232,0.1891807467,0.1784477979,0.2030424923
46,0.9487941861,0.1744039208,0.1904607415,0.04056530818,0.1780873537,0.1905195117,0.2011649162,0.2032605857
47,0.9518941045,0.1694839448,0.2103120834,0.03993876651,0.1802556962,0.1924850196,0.2234883457,0.2044198066
48,1.050319076,0.1654648632,0.2152081579,0.03929835185,0.1828977019,0.1953901798,0.2243315428,0.2060221434
49,1.055953145,0.1657268405,0.2134004086,0.03820444271,0.1856699139,0.1989437491,0.2177369595,0.207711339
50,1.050308347,0.1697529405,0.2121229023,0.03733854368,0.1893194467,0.2037429959,0.2127633095,0.2098585814
51,1.060641408,0.1708982587,0.2252013534,0.03732391447,0.1938399523,0.2096556872,0.2220802307,0.2129233032
52,1.043400168,0.1741912812,0.2408840805,0.03867674246,0.1993233114,0.2167942524,0.2325392365,0.2169967145
53,1.111352563,0.1826959103,0.2495543957,0.04222857952,0.2055394799,0.2250298262,0.2363762408,0.2217689604
54,1.132932782,0.19069314,0.26917696,0.04723438621,0.212568,0.2342901677,0.248294279,0.2274383754
55,1.190081596,0.2031310797,0.2800467014,0.05330483243,0.2199352235,0.2443651408,0.2531506121,0.2336237878
56,1.196161747,0.2167056948,0.2913708985,0.06060405448,0.2270739824,0.2552847564,0.258561641,0.2403530031
57,1.233843327,0.2297414094,0.2580935359,0.06885194778,0.2324269563,0.2654690742,0.2415048033,0.2456332594
58,1.254320621,0.2303758264,0.2099958658,0.0742636025,0.2340704352,0.2710672915,0.2367103547,0.2462208271
