window_index,DLinear,PatchTST,iTransformer,TimesNet,ZeroPred,Persistence,HAR_EWM
0,1.512740016,1.502372861,1.560207725,1.580967546,1.569950104,1.523296714,1.523296714
1,1.52797401,1.535149455,1.544469833,1.57921648,1.573929191,1.525820374,1.525820374
2,1.525113106,1.545891404,1.603399634,1.59464252,1.58448565,1.544331908,1.534002304
3,1.548003316,1.559952736,1.614856362,1.593033671,1.580975533,2.282540321,1.537255168
4,1.543590426,1.538939476,1.551239133,1.554443479,1.545934081,1.663580418,1.489461303
5,1.432581306,1.431800008,1.440504432,1.444282532,1.442446232,2.889356852,1.374263167
6,1.376033187,1.519204974,1.442492127,1.401729107,1.406139016,3.663744926,1.342141271
7,1.357485414,1.331572175,1.428818345,1.417485356,1.403903484,1.693164229,1.344110847
8,1.359136701,1.349333644,1.399615288,1.393705726,1.392156243,1.326712489,1.320651889
9,1.40037024,1.390978336,1.409326434,1.399124503,1.417398095,1.459094048,1.354170203
10,1.383063316,1.401216388,1.44914186,1.409565806,1.41957891,1.309095979,1.353966355
11,1.401888371,1.454070449,1.45470655,1.437767386,1.437619209,1.804798484,1.382296205
12,1.423076272,1.473778725,1.481070161,1.434309602,1.438895583,1.376802564,1.385339618
13,1.374728203,1.402471542,1.431187153,1.423638344,1.404773355,2.960937262,1.364408016
14,1.38505733,1.389097333,1.423645496,1.413323998,1.397417188,1.331600785,1.352397323
15,1.387376785,1.406459451,1.452202201,1.409174085,1.397663593,1.433534503,1.353807449
16,1.372476697,1.34488833,1.418062568,1.397627831,1.392073274,1.293214083,1.341543555
17,1.381784558,1.403156161,1.363308072,1.381217599,1.38790977,1.267138839,1.33513689
18,1.237968564,1.158470154,1.220537305,1.230562568,1.241854906,3.799348831,1.188778162
19,1.209207892,1.318987966,1.208241463,1.22485137,1.236676574,1.187738419,1.186622977
20,1.201608181,1.124311805,1.227690816,1.215224624,1.236255765,1.306144476,1.187076569
21,0.1675501913,0.2267166525,0.1895160526,0.1928048581,0.1909297705,25.04908752,0.2507607937
22,0.1420396119,0.1476926059,0.1531228572,0.1656279564,0.1585139632,0.9631893039,0.2454763502
23,0.1371401697,0.1418292671,0.1278569698,0.1456939876,0.1419782043,0.5811776519,0.1981144994
24,0.1223989725,0.1192744598,0.1346395761,0.1292613447,0.1310469955,0.4953999519,0.1616248488
25,0.1291397065,0.1467282474,0.1214258447,0.1297308654,0.1338965893,0.194594577,0.1633306593
26,0.131000489,0.1237867698,0.1258808076,0.1412630379,0.1314164847,0.36425367,0.1836439371
27,0.1352740228,0.1260642409,0.1279310584,0.136825338,0.1298122555,0.2883141041,0.1852909327
28,0.1343771666,0.1554445624,0.1361979693,0.1431113631,0.1329963356,0.1437932402,0.1950404197
29,0.1273955703,0.1502698809,0.1495391279,0.1429821849,0.1311344355,0.1820111126,0.198452428
30,0.1472265869,0.1831117868,0.1378640682,0.1541843414,0.1405153126,0.5767679811,0.2106224746
31,0.1504507214,0.2217421383,0.1691785604,0.1797785312,0.1530064791,0.1724839211,0.2354335338
32,0.1575891078,0.1862024069,0.1748182327,0.1692776233,0.1437511444,0.4807631671,0.2370035648
33,0.1174340621,0.1192911565,0.1267863512,0.1377677172,0.1199018285,0.7038556933,0.1839614362
34,0.1436486989,0.1835064441,0.1948894411,0.1960339397,0.1533452272,0.2771907151,0.2427895218
35,0.1728407294,0.1926210374,0.2084691525,0.196966663,0.1595921516,0.6001825333,0.23442702
36,0.1633265913,0.1835814714,0.1939913034,0.1934218407,0.169561103,0.1934208423,0.2257617265
37,0.1768347472,0.187032178,0.1838999838,0.1931393892,0.17115587,0.1733743697,0.2188147902
38,0.1863890141,0.183101818,0.1725041121,0.1918261647,0.1781109124,0.3845539987,0.2031137943
39,0.1822805852,0.230323419,0.188312158,0.18686831,0.1778338403,0.1841477752,0.2039022893
40,0.1675765067,0.2060580701,0.1625823975,0.1929530352,0.1734748334,0.3165938556,0.2041662931
41,0.1722109765,0.2058238238,0.1959680766,0.1934996694,0.1732222885,0.1834828109,0.205384329
42,0.1727745682,0.2240277976,0.1974648684,0.1930793375,0.1732149869,0.2082716227,0.2017349154
43,0.1813610643,0.2031648606,0.1942110807,0.2019828111,0.1745466441,0.1745682806,0.2033881396
44,0.1776532382,0.2133681029,0.1764543056,0.1955867559,0.1744241863,0.1764468104,0.2006149888
45,0.1797706485,0.2088229507,0.1846520752,0.1913204938,0.1719948798,0.2334058434,0.192371726
46,0.1774058938,0.1843096465,0.1909311414,0.1910414249,0.1758704334,0.1971033067,0.1941057891
47,0.1856566221,0.2075717449,0.1865236908,0.1945018321,0.1756676584,0.1821182519,0.1949094683
48,0.1795259118,0.1713755578,0.1904277802,0.2008955479,0.1753840894,0.212504223,0.1952665299
49,0.1776795536,0.2067176104,0.2021814585,0.2032153606,0.1702293158,0.3597283363,0.2001064271
50,0.166206032,0.1855961531,0.1899418384,0.1934482455,0.1638765931,0.347130686,0.1855618209
51,0.1559950709,0.1930191666,0.1822048426,0.1918554902,0.1625163257,0.3131544888,0.1868038177
52,0.3015483916,0.2774722874,0.2946058214,0.3121229708,0.3095385134,0.4418319464,0.3067965806
53,0.3020082414,0.2969631851,0.2901645005,0.3180083036,0.3112859428,0.3219123185,0.3096132278
54,0.2663234472,0.2452530265,0.3091251552,0.304348737,0.2843999267,0.8979964852,0.2962813973
55,0.2737157345,0.3259119093,0.3201396167,0.3110840321,0.2971103489,0.6314958334,0.3071894646
56,0.377502352,0.4120984375,0.428101927,0.430146575,0.3873648643,0.4875724018,0.4167819917
57,0.3956063986,0.4082014561,0.4518015385,0.4261228144,0.3956292868,0.421684593,0.4153441489
58,0.3708213866,0.348004818,0.3665142953,0.3815928698,0.3673114479,1.315494418,0.3692332208
59,0.3657069206,0.3223835826,0.3951607049,0.3759256899,0.3631415367,1.116561055,0.3625844717
60,0.3557547033,0.4254606664,0.376206249,0.3707399368,0.3522314727,0.6239115596,0.3565974236
61,0.3570364714,0.3801404238,0.3582380116,0.3742545545,0.3544783294,0.4059236944,0.362801075
62,0.3600559235,0.3754538,0.4023548067,0.386865139,0.349414587,0.7816260457,0.3691056669
63,0.3758721352,0.3919295967,0.4086452723,0.3930205107,0.3650132716,0.3639495671,0.378768295
64,0.3741004467,0.364315629,0.3836852014,0.3907812834,0.3633913696,0.4195606709,0.3791945875
65,0.3645732105,0.4023992121,0.396396637,0.3944195509,0.3644483089,0.3626592159,0.3799575269
66,0.3624115884,0.4363041818,0.3715792596,0.3799281418,0.3658822477,0.3926751614,0.3763123453
67,0.3589105308,0.3856398165,0.3926990926,0.3879992664,0.3720862567,0.3917125463,0.3824962676
68,0.3970999718,0.3614270985,0.3887915611,0.4060789347,0.373008579,0.3726718426,0.3820287883
69,0.378992945,0.4261822999,0.398406595,0.4006848633,0.3755700588,0.3746773899,0.3849523962
70,0.3731664419,0.4074819088,0.4106678069,0.406064868,0.3712440431,0.5259416699,0.3851167262
71,0.3658785522,0.4115937948,0.416082412,0.4102504551,0.3737990856,0.3718720675,0.3850674927
72,0.404396981,0.4393271506,0.4106954336,0.4236416817,0.4053990543,0.4410552979,0.4129638672
73,0.4856832027,0.4974125326,0.509173274,0.5297657847,0.4976020157,0.5139210224,0.5108671188
74,0.5156080127,0.5000038743,0.53894943,0.5422123075,0.514321804,0.5454948545,0.5213059187
75,0.6344360113,0.6598071456,0.6430370212,0.664684236,0.6475893855,0.7327325344,0.6478348374
76,0.5874920487,0.6000268459,0.606644094,0.6244735122,0.5926782489,4.153047085,0.6030599475
77,0.584038496,0.5775679946,0.6095798612,0.6231052876,0.5908312798,0.6463617086,0.5972115993
78,0.5825929046,0.6675799489,0.5844687819,0.6163081527,0.5907372832,0.614435792,0.5940499902
79,0.6037599444,0.6095605493,0.5987896323,0.616728723,0.5936258435,1.263005376,0.594456017
80,0.4945339859,0.4680454433,0.5152255297,0.5000155568,0.5018001795,3.001039505,0.4972511828
