window_index,DLinear,PatchTST,iTransformer,TimeMixer,ZeroPred,Persistence,HAR_EWM
0,0.744187355,0.6976557374,0.6772260666,0.543471396,0.8826746345,1.119442821,1.119442821
1,0.7601857185,0.6708560586,0.874375999,0.6164117455,0.8919555545,1.125819087,1.125819087
2,0.760073185,0.7024264336,0.7289786935,0.5634689927,0.898370564,0.7374213338,1.114116311
3,0.7515530586,0.763112545,0.6873455048,0.5937117934,0.9074494243,0.6436784863,1.096936226
4,0.7944489121,0.8106865883,0.8224838376,0.6045786738,0.9143040776,1.576004386,1.113496661
5,0.8072397113,0.8565502763,0.7073979974,0.6326025128,0.9156999588,1.061781049,1.112480044
6,0.8360616565,0.7958769798,0.7239492536,0.6179979444,0.9151672721,1.220718384,1.115458965
7,0.8460461497,0.9269984365,0.7744019628,0.6452232599,0.9154036045,0.9995329976,1.112958074
8,0.8371478915,0.8533380628,0.8294885159,0.619505167,0.9200192094,0.6471275687,1.089241028
9,0.8187243938,0.8360776901,0.7488527298,0.6515943408,0.9185268283,0.6661741734,1.0669204
10,0.7879009843,0.8310907483,0.7753199935,0.6146883965,0.9160593152,0.6492296457,1.040920734
11,0.794075191,0.8048213124,0.7145405412,0.6472770572,0.9197106361,0.8994352221,1.038622499
12,0.7771165967,0.8872122169,0.763733685,0.6400875449,0.9263439775,0.6625621319,1.023237824
13,0.7696809769,0.858443439,0.7902614474,0.6703785062,0.931895256,0.6626031995,1.009167194
14,0.7870203853,0.823256433,0.7674539685,0.6248645186,0.9370934367,0.6656624675,0.9966647625
15,0.7676897049,0.7811526656,0.745908916,0.6738653183,0.9358474612,0.8870539665,0.961792469
16,0.7939219475,0.9325925708,0.7907168269,0.692661345,0.9453031421,0.6759392619,0.951518774
17,0.7929885387,0.7498612404,0.7835823894,0.7011149526,0.9546050429,0.7445672154,0.9366340637
18,0.8569371104,0.9693160653,0.7958698273,0.6711447835,0.9616575241,2.097273827,0.9636531472
19,0.7989470959,0.9331417084,0.8221921325,0.7125833035,0.9590687156,0.6819739938,0.9395310283
20,0.7840647697,0.8404896855,0.7786967158,0.681981802,0.9513008595,0.8133456111,0.9063691497
21,0.9724174142,0.9155147672,0.8907333016,0.5875096917,0.8860533834,10.47213459,0.9221039414
22,0.9158566594,0.9242388606,1.098017216,0.6550070643,0.8901516795,1.942361832,0.9471914172
23,0.8886144757,0.9431589246,0.9553015232,0.659214735,0.8936109543,1.15866816,0.9567472935
24,0.8625475764,0.9472179413,1.048939705,0.5968872309,0.8944320679,0.7356831431,0.9502642751
25,0.9092197418,0.9692198634,1.039588928,0.6164942384,0.8890054822,2.301129103,0.9709975123
26,0.8836510777,0.8644604683,0.9765685201,0.6385937333,0.8896489739,1.023535609,0.9735665321
27,0.9294260144,0.8952516913,1.04422164,0.670981884,0.8875233531,1.802749515,0.9903621674
28,0.8644230962,0.8273715973,0.8145821095,0.6410463452,0.8955180049,0.5300303102,0.9768135548
29,0.8405346274,0.8840559125,1.051413178,0.6594566703,0.8955633044,0.697283566,0.9671522975
30,0.8281415105,0.836730659,0.7548071742,0.6384369731,0.8976213336,0.7458293438,0.9611101151
31,0.8305452466,0.8636876941,0.7027010918,0.6460422873,0.9001840949,0.6417782903,0.9506549835
32,0.8518989682,0.895573616,0.8213812709,0.6757688522,0.9004967809,0.8749311566,0.9488220215
33,0.8847091198,0.9995744228,1.058658481,0.6270157099,0.9059116244,1.060506225,0.9577634931
