window_index,ClassPrior,Centroid,DiagGaussian,LinearSoftmax
0,0.1734104046,0.2875680686,0.3288491836,0.2951540918
1,0.1602373887,0.3098993274,0.3242505522,0.2084363716
2,0.1602373887,0.3018856163,0.2753500815,0.2268643306
3,0.2222222222,0.3552715886,0.3525387513,0.3214896215
4,0.191272052,0.3449656751,0.5191703978,0.4676235762
5,0.2028985507,0.2766030366,0.4238117939,0.4750645236
6,0.1382868937,0.2466895849,0.3768718345,0.2921860568
7,0.1366459627,0.3324141005,0.3146091857,0.2646291209
8,0.1494949495,0.2659834109,0.2162753332,0.190630862
9,0.1526104418,0.4041326915,0.3731630936,0.2631918332
10,0.2564102564,0.4998083887,0.4165875743,0.3243610579
11,0.2290598291,0.255347416,0.3337060751,0.2846164364
12,0.2473382473,0.2736685433,0.3464388017,0.3270256825
13,0.2245250432,0.2245250432,0.2392987083,0.2761535859
14,0.2290598291,0.2413516609,0.3026292352,0.2698616314
15,0.2706883217,0.271950272,0.3372951925,0.2914930626
16,0.2356902357,0.2374893978,0.3502191195,0.3698743386
17,0.2442244224,0.2279882373,0.3076294594,0.2575694444
18,0.2761250953,0.2931643625,0.3390189956,0.3740542946
19,0.2814145974,0.2814145974,0.2898400101,0.2814145974
20,0.2743295019,0.2743295019,0.3242866952,0.2890081495
21,0.2805429864,0.2787878788,0.3172714395,0.2803030303
22,0.288248337,0.3290945166,0.3462384462,0.3043329043
23,0.2669789227,0.2669789227,0.2934468935,0.279532967
24,0.2345991561,0.2324003393,0.304977567,0.2527466135
25,0.2814145974,0.2814145974,0.4177320916,0.2811791383
26,0.2964569776,0.2964569776,0.3847274241,0.2961342086
27,0.2940320233,0.2940320233,0.2946754194,0.3137230384
28,0.2899190581,0.2897265336,0.3483404096,0.353517075
29,0.2972582973,0.3186068256,0.3468567251,0.3176379176
30,0.3088749126,0.3088749126,0.3727119216,0.3088749126
31,0.3043170559,0.3043170559,0.3875035452,0.359569378
32,0.2848620433,0.2855007474,0.3192559075,0.333982684
33,0.2743295019,0.2937389771,0.45999246,0.3443828995
34,0.3004291845,0.2996415771,0.3173565723,0.3010752688
35,0.277904328,0.2944118287,0.2910493827,0.2793209877
36,0.3035460993,0.3041933191,0.3032904149,0.3662248192
37,0.2899190581,0.3195459792,0.3401445867,0.3361111111
38,0.2996415771,0.3253968254,0.4130804765,0.4289807629
39,0.309623431,0.3088749126,0.3486390337,0.309623431
40,0.2996415771,0.2994960403,0.4130804765,0.3498544396
41,0.3147766323,0.3147766323,0.3140495868,0.3154269972
42,0.2787878788,0.2776506484,0.3413364915,0.2955938697
43,0.2734254992,0.2740569669,0.3058893339,0.2908325689
44,0.2805429864,0.2805429864,0.3249197011,0.3210844753
45,0.2831460674,0.3230798414,0.3684981685,0.2831460674
46,0.2210617929,0.2586875386,0.2780594522,0.2476359338
47,0.2335025381,0.2445180496,0.3220985692,0.2437458855
48,0.2268041237,0.2396603397,0.3367358337,0.2477622465
49,0.2301790281,0.2396948443,0.3392323831,0.2630195276
