window_index,DLinear,PatchTST,iTransformer,TimesNet,ZeroPred,Persistence,HAR_EWM
0,0.8161942363,0.8415794373,0.8457311988,0.8608685136,0.8504984975,0.8255096078,0.8255096078
1,0.8385825157,0.8659989238,0.8488664627,0.8665376306,0.8539128304,0.8279183507,0.8279183507
2,0.8347392082,0.8359234929,0.8591739535,0.868326664,0.8579511046,0.8381051421,0.8335569501
3,0.8312004209,0.8688669801,0.8608047366,0.8700704575,0.8553938866,1.347281575,0.8338456154
4,0.8255736232,0.8254770637,0.8400525451,0.8451542854,0.8394650817,1.320661068,0.8139873147
5,0.7708750367,0.7204330564,0.7822753787,0.7869423032,0.7867903709,2.787275553,0.7609784603
6,0.7641506195,0.7774781585,0.7763103843,0.7852274776,0.7733271718,2.554632902,0.7450690866
7,0.7532940507,0.7885023952,0.7847388387,0.7881553769,0.7784549594,0.9489579201,0.7536312938
8,0.7471824288,0.7529070973,0.7804754376,0.7773275971,0.7679536939,1.053420663,0.7405902743
9,0.7413230538,0.7983250618,0.7635545731,0.7647700906,0.7686499953,0.7899672985,0.7426264286
10,0.7799453735,0.7944517136,0.7871163487,0.7849090099,0.7864620686,0.75953722,0.7643406987
11,0.7824100852,0.8010614514,0.8010942936,0.8066433072,0.7986056209,1.014621258,0.7800633311
12,0.784277916,0.8217797875,0.8090224862,0.8136548996,0.8042283058,0.7818815708,0.7841467261
13,0.7779359818,0.7535790801,0.806368649,0.8033806682,0.787964642,1.953281403,0.7707532048
14,0.7909433842,0.7896026969,0.7942382693,0.8010762334,0.7877640724,0.930588901,0.7666297555
15,0.7695056796,0.8244188428,0.8070332408,0.8040898442,0.787748754,0.8072094917,0.7673735619
16,0.7649912834,0.738242805,0.7957625389,0.7954673171,0.7827739716,0.871658504,0.7604885101
17,0.7639904022,0.8148674369,0.779912293,0.792299509,0.7805659771,0.7762619853,0.7582971454
18,0.6970012784,0.6933832169,0.7063052654,0.7065060139,0.7075349689,3.765204191,0.6910611987
19,0.691386044,0.6991348267,0.680762291,0.7017445564,0.705611527,0.7473459244,0.6924841404
20,0.6867225766,0.6918873191,0.6937845349,0.7037799954,0.7053399682,0.7458195686,0.6912662983
21,0.1974093765,0.1796877384,0.1791798621,0.1814157963,0.1814623028,25.18989372,0.2495454103
22,0.1608561426,0.1991164237,0.1658096761,0.1732766628,0.1671922207,0.9639791846,0.2515723705
23,0.1629314125,0.1822663099,0.158244893,0.1615068913,0.1588229388,0.5813159347,0.221970275
24,0.1480595917,0.1660771668,0.158329159,0.1530598551,0.1532155424,0.4858365953,0.1979000121
25,0.1513610482,0.1522106081,0.1518578678,0.1564246267,0.1520629525,0.2406154722,0.2030660361
26,0.1500149965,0.1560266465,0.1541355401,0.1538034678,0.1476465315,0.4000059664,0.2096268386
27,0.1513809413,0.1790755987,0.1540298909,0.1503207833,0.1461642981,0.3208256662,0.2115604877
28,0.2202179581,0.2258258611,0.2187494487,0.2236949056,0.2212674171,0.2244804651,0.2655672729
29,0.2101154923,0.1989386231,0.2281115502,0.2266104668,0.2212101817,0.2557139397,0.2696170807
30,0.216081515,0.2282824665,0.21002841,0.2246689051,0.2124576122,0.6292181611,0.2747636735
31,0.2173035294,0.2591704428,0.2486828566,0.2396316081,0.2250584215,0.2390615344,0.2949814498
32,0.2699643075,0.284022212,0.2794725895,0.2842562497,0.2655580342,0.6100859046,0.3625259697
33,0.2578880191,0.2841044962,0.2705177069,0.2682165802,0.2577655613,0.8335992694,0.3243027627
34,0.2600286007,0.2887866795,0.2759035826,0.2778704166,0.2603283226,0.3552758694,0.3260097206
35,0.2632893026,0.2592484653,0.2774009705,0.2758897841,0.2613668442,0.7800881267,0.3138107955
36,0.2557093799,0.2941204607,0.2905107737,0.2781387269,0.2608962953,0.2943474054,0.3075242639
