window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,EWM,0.03081795573234558,Trend,0.032714154571294785,0.0018961988389492035,HAR_EWM,0.05345554277300835,0.022637587040662766
1,EWM,0.03080977313220501,Trend,0.03129379451274872,0.0004840213805437088,HAR_EWM,0.05372576788067818,0.022915994748473167
2,EWM,0.030865132808685303,TargetRidge,0.034062936902046204,0.003197804093360901,HAR_EWM,0.0539298951625824,0.023064762353897095
3,EWM,0.031013289466500282,Seasonal,0.03170093521475792,0.000687645748257637,HAR_EWM,0.05373712256550789,0.022723833099007607
4,Seasonal,0.027028465643525124,EWM,0.031087985262274742,0.0040595196187496185,HAR_EWM,0.05394786596298218,0.026919400319457054
5,Seasonal,0.025436757132411003,EWM,0.03082791529595852,0.005391158163547516,HAR_EWM,0.054488103836774826,0.029051346704363823
6,Seasonal,0.025036076083779335,EWM,0.03142223879694939,0.006386162713170052,HAR_EWM,0.05483679100871086,0.029800714924931526
7,Seasonal,0.025432603433728218,EWM,0.03147641196846962,0.006043808534741402,HAR_EWM,0.055264782160520554,0.029832178726792336
8,Seasonal,0.02596859633922577,EWM,0.03096545673906803,0.004996860399842262,HAR_EWM,0.05586312338709831,0.029894527047872543
9,Seasonal,0.02621348388493061,EWM,0.031043007969856262,0.0048295240849256516,HAR_EWM,0.05593632534146309,0.02972284145653248
10,Seasonal,0.026285618543624878,EWM,0.03158858045935631,0.00530296191573143,HAR_EWM,0.05588577315211296,0.029600154608488083
11,Seasonal,0.026994764804840088,EWM,0.031076958402991295,0.004082193598151207,HAR_EWM,0.05556885898113251,0.02857409417629242
12,Seasonal,0.027368620038032532,EWM,0.03063395619392395,0.0032653361558914185,HAR_EWM,0.055152419954538345,0.027783799916505814
13,Seasonal,0.028216833248734474,EWM,0.030772432684898376,0.0025555994361639023,HAR_EWM,0.05482755973935127,0.0266107264906168
14,Seasonal,0.02800445817410946,EWM,0.030198516324162483,0.0021940581500530243,HAR_EWM,0.053403422236442566,0.025398964062333107
15,Seasonal,0.02737162820994854,EWM,0.030724123120307922,0.0033524949103593826,HAR_EWM,0.0519571490585804,0.02458552084863186
16,Seasonal,0.027668053284287453,EWM,0.031116990372538567,0.003448937088251114,HAR_EWM,0.05127045512199402,0.023602401837706566
17,Seasonal,0.028655672445893288,Persistence,0.03087463229894638,0.002218959853053093,HAR_EWM,0.05145882070064545,0.02280314825475216
18,Seasonal,0.02874734438955784,EWM,0.03273036703467369,0.003983022645115852,HAR_EWM,0.05038024112582207,0.02163289673626423
19,Seasonal,0.028784697875380516,Persistence,0.031262319535017014,0.0024776216596364975,HAR_EWM,0.05004077032208443,0.02125607244670391
20,Seasonal,0.02825901471078396,EWM,0.033639971166849136,0.005380956456065178,HAR_EWM,0.048900067806243896,0.020641053095459938
21,Seasonal,0.027752233669161797,Persistence,0.03138807415962219,0.003635840490460396,HAR_EWM,0.048336416482925415,0.02058418281376362
22,Seasonal,0.025962142273783684,Persistence,0.03139791265130043,0.0054357703775167465,HAR_EWM,0.04750515893101692,0.021543016657233238
23,Seasonal,0.02498183585703373,EWM,0.03349269926548004,0.008510863408446312,HAR_EWM,0.04697209596633911,0.021990260109305382
24,Seasonal,0.024859407916665077,EWM,0.03368040546774864,0.008820997551083565,HAR_EWM,0.04732328653335571,0.022463878616690636
25,Seasonal,0.024986527860164642,EWM,0.03429987654089928,0.009313348680734634,HAR_EWM,0.04774975776672363,0.02276322990655899
26,Seasonal,0.026059454306960106,EWM,0.03415825963020325,0.008098805323243141,HAR_EWM,0.048687856644392014,0.022628402337431908
27,Seasonal,0.026785992085933685,EWM,0.03580827638506889,0.009022284299135208,HAR_EWM,0.049506474286317825,0.02272048220038414
28,Seasonal,0.02838495373725891,EWM,0.03547697141766548,0.0070920176804065704,HAR_EWM,0.05070191249251366,0.022316958755254745
29,Seasonal,0.03022007644176483,EWM,0.035685550421476364,0.005465473979711533,HAR_EWM,0.052044015377759933,0.021823938935995102
30,Seasonal,0.03217387571930885,EWM,0.03642773628234863,0.00425386056303978,HAR_EWM,0.05340882018208504,0.021234944462776184
31,Seasonal,0.034525055438280106,EWM,0.03776705265045166,0.0032419972121715546,HAR_EWM,0.055256497114896774,0.02073144167661667
32,EWM,0.03712841868400574,Seasonal,0.03760167956352234,0.00047326087951660156,HAR_EWM,0.057032763957977295,0.019904345273971558
33,EWM,0.038634609431028366,Seasonal,0.04120258614420891,0.002567976713180542,HAR_EWM,0.059137944132089615,0.02050333470106125
34,EWM,0.03967718407511711,Seasonal,0.044785428792238235,0.005108244717121124,HAR_EWM,0.06100889667868614,0.02133171260356903
35,EWM,0.04047137126326561,TargetRidge,0.04429897293448448,0.003827601671218872,HAR_EWM,0.06136017665266991,0.020888805389404297
36,EWM,0.041657235473394394,Seasonal,0.0472121424973011,0.005554907023906708,HAR_EWM,0.06179553270339966,0.020138297230005264
37,EWM,0.043128252029418945,TargetRidge,0.04661327973008156,0.003485027700662613,HAR_EWM,0.06184835359454155,0.018720101565122604
38,Persistence,0.02733776532113552,TargetRidge,0.03304586559534073,0.005708100274205208,HAR_EWM,0.060081299394369125,0.032743535935878754
39,Persistence,0.02633407525718212,TargetRidge,0.030046371743083,0.003712296485900879,HAR_EWM,0.05754541978240013,0.03121134452521801
40,Persistence,0.026797190308570862,TargetRidge,0.03002600558102131,0.003228815272450447,HAR_EWM,0.055211663246154785,0.028414472937583923
41,Persistence,0.02742631733417511,Trend,0.028652003034949303,0.0012256857007741928,HAR_EWM,0.05288335680961609,0.02545703947544098
42,Trend,0.02575991116464138,TargetRidge,0.02935979701578617,0.0035998858511447906,HAR_EWM,0.04991928115487099,0.024159369990229607
