window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,ZeroPred,Persistence,HAR_EWM
0,0.257545799,0.2402843237,0.3769107759,0.09656951576,0.2927494943,0.358430475,0.4340647757,0.4340647757
1,0.2604759634,0.2361623496,0.3922051489,0.0955009982,0.2923339307,0.3579452932,0.4340797961,0.4340797961
2,0.2770854533,0.227967605,0.4217804968,0.09430110455,0.2921692133,0.3574445248,0.4487601519,0.4344877303
3,0.2602657378,0.2251821309,0.4383547008,0.09310122579,0.2922612131,0.3569437563,0.4487751722,0.4348854125
4,0.2785444856,0.218027249,0.471165657,0.09176269919,0.2926939726,0.3564285338,0.464171499,0.435667783
5,0.2732825577,0.2170649767,0.4895613194,0.09054777771,0.2936935425,0.3564285338,0.464171499,0.4364437163
6,0.3034257889,0.2112792283,0.5269557834,0.08933660388,0.2947197855,0.3561600447,0.4802901745,0.4375950396
7,0.2891299427,0.2061173171,0.567155838,0.08798652142,0.2960214317,0.3558833599,0.497173816,0.4391270578
8,0.3103580773,0.2065968066,0.5888281465,0.08663643152,0.2975325882,0.355606705,0.4971776009,0.4406241477
9,0.3105264306,0.2024800032,0.6324295402,0.0851399079,0.2993260622,0.35532251,0.5147981048,0.4425005913
10,0.3558127582,0.1988240033,0.678837955,0.08350103348,0.3015235364,0.3547473252,0.5331165791,0.4447240531
11,0.2189015895,0.2008503675,0.703874886,0.08200483769,0.3041087687,0.3544562757,0.5331203341,0.4469303191
12,0.2972933352,0.2031681985,0.7296699882,0.08065506071,0.3066032231,0.3541652262,0.5331240296,0.4490905106
13,0.3713736832,0.2009287924,0.7819619775,0.07917042822,0.3092566431,0.3535757363,0.5521912575,0.4515991509
14,0.301697731,0.199213326,0.8374198079,0.07755062729,0.3120883405,0.352679491,0.5720562935,0.4544528425
15,0.3000762761,0.2023218274,0.8662540317,0.07593083382,0.315479368,0.3517832458,0.5720899701,0.4572561681
