window_index,DLinear,PatchTST,iTransformer,TimeMixer,FreTS,TimeXer,ZeroPred,Persistence,HAR_EWM
0,0.5568477511,0.5745106936,0.5725278258,0.5759471655,0.5673707128,0.5770946145,0.5704450607,0.5609387755,0.5609387755
1,0.5876895189,0.5985876322,0.5873106122,0.587546289,0.6023331285,0.5829948783,0.5939142704,0.5867348909,0.5867348909
2,0.5978174806,0.6054313183,0.6150463223,0.6065605879,0.6011452079,0.5963273644,0.5985251069,0.5913892984,0.5904597044
3,0.6219686866,0.6374385953,0.644556582,0.6428619623,0.6245159507,0.6395196915,0.6302233338,1.009916306,0.62053895
4,0.6362658739,0.650118351,0.6502930522,0.6463974118,0.6423233151,0.6471709609,0.6452867389,1.271093011,0.6321378946
5,0.6075992584,0.6200973392,0.6142194271,0.6146206856,0.6211304665,0.6163575053,0.618924439,2.81126976,0.6077978015
6,0.6067407727,0.6066823006,0.6059960723,0.6083030105,0.6114409566,0.597150445,0.605447948,2.185689688,0.5922768712
7,0.6012755036,0.6141471863,0.6192114949,0.6225513816,0.6079471707,0.6160456538,0.6119115353,0.7371935844,0.6004034877
8,0.5855383277,0.6105808616,0.612162292,0.603967011,0.6097477078,0.6156744957,0.6062681675,1.024010777,0.5955435634
9,0.5922186971,0.6052972674,0.6021262407,0.6013247371,0.6076129079,0.6068112254,0.6062704325,0.6191577315,0.5956373811
10,0.5947617888,0.6110997796,0.6083785892,0.6084033847,0.6082439423,0.5959411263,0.6103246212,0.6035999656,0.5987171531
11,0.614664793,0.6180443168,0.6264564395,0.6063370109,0.608686626,0.6256548762,0.613414824,0.8056237102,0.6006650925
12,0.6200427413,0.6240176558,0.6326135993,0.6247545481,0.6128340364,0.6154284477,0.6175915599,0.6054084897,0.6060698032
13,0.6002416015,0.6199170947,0.6505821347,0.6248835921,0.6057280302,0.6196969748,0.6092441678,1.657452583,0.5989702344
14,0.6175476909,0.6150832772,0.6332606673,0.6139734387,0.6048410535,0.6349303722,0.6054289341,0.8348662257,0.5942101479
15,0.5966775417,0.6139920354,0.6165695786,0.6191099882,0.6060920358,0.6249294877,0.6064677238,0.6190469861,0.5959389806
16,0.5981984735,0.6059755087,0.6217128634,0.6255020499,0.6061046124,0.6238576174,0.6046187282,0.7670269012,0.5933941007
17,0.5957915187,0.6015329957,0.6140101552,0.6040773988,0.6003892422,0.6075768471,0.6035509706,0.6427714825,0.592681706
18,0.5708142519,0.5643877387,0.5805892348,0.5791674256,0.5685300231,0.5524576306,0.5680744648,3.770196199,0.5621717572
19,0.5674945712,0.5747728944,0.5933293104,0.5800874233,0.5797686577,0.5696823001,0.5757774711,0.6325318813,0.568766892
20,0.5695462823,0.5789759755,0.5661674142,0.58618927,0.5822125077,0.5776174068,0.5810739994,0.6181702018,0.571039021
21,0.3333000243,0.3218841553,0.3162324131,0.3288470805,0.3220965862,0.3203088641,0.3227474988,25.00498009,0.3729176819
22,0.31832093,0.316954881,0.314427495,0.3218922913,0.3135612905,0.3116973341,0.3152290583,1.055078506,0.3809707463
23,0.3139896691,0.3120761216,0.3114658892,0.3076577485,0.3079782426,0.3165965378,0.3116346896,0.7704731822,0.3595292568
24,0.3193955123,0.3082618713,0.3145802319,0.308717519,0.30640921,0.3184280097,0.3103635609,0.6688790321,0.343536526
25,0.3178391755,0.3162113428,0.3260264695,0.3263596594,0.3197633326,0.3129197061,0.3159683943,0.3899018764,0.3556512892
26,0.3217686117,0.3125419915,0.3092599213,0.3195152283,0.318199724,0.3190478086,0.3134557307,0.5339832306,0.3595335484
27,0.3303562403,0.319761157,0.326040864,0.3307159245,0.3162707388,0.305953145,0.3159001172,0.4605558813,0.3628810346
28,0.3175580502,0.3162673712,0.314651221,0.3284010887,0.3137437105,0.3219641745,0.3158297241,0.3194819391,0.3611571491
29,0.3332244158,0.325717181,0.3233782351,0.3242363632,0.325550139,0.3166196346,0.3250168562,0.3530882597,0.365994215
30,0.3498247564,0.3353975713,0.3393371403,0.327131182,0.3344132006,0.3464452326,0.3351792395,0.7037425041,0.3781957328
31,0.3453488648,0.3372779191,0.345892936,0.3300826848,0.3372224867,0.354280442,0.3381308615,0.338542074,0.3770081997
32,0.3571681678,0.3354025781,0.3390931189,0.3448652327,0.337277323,0.3419168293,0.3377698362,0.5719408393,0.3801818192
33,0.3358937204,0.3361340463,0.3505400121,0.3405241072,0.3391145468,0.3402323723,0.3377974927,1.03141737,0.3683960736
34,0.3447476327,0.3411379158,0.3300495148,0.3458024263,0.3399457932,0.3329352438,0.3374782503,0.3907953501,0.3689268529
35,0.351957798,0.3336077929,0.3372388184,0.3327979743,0.3285261095,0.3351656497,0.3329414129,0.9645068049,0.3530464172
36,0.3466551304,0.3343418539,0.3367210329,0.3348940611,0.3367059529,0.3353129923,0.3326489329,0.3965183794,0.3489181995
37,0.355776757,0.3354403973,0.3377513885,0.336723417,0.3325718939,0.3516304195,0.3355364501,0.3533920944,0.3471402228
38,0.3486798108,0.3298131526,0.3366261423,0.3361837566,0.3346253932,0.3343384266,0.3336001933,0.5878058076,0.3397091329
39,0.3463760614,0.3284340799,0.3436982632,0.3319770396,0.337823391,0.3393968046,0.3352600634,0.331797421,0.34265697
40,0.3453934491,0.3305438161,0.3397918046,0.3305555582,0.3342150748,0.331716001,0.3351472318,0.4312373698,0.3439105749
41,0.3450093567,0.3342403173,0.3512660563,0.3401145935,0.3342418671,0.3320957422,0.3350554407,0.3323003948,0.3437512815
42,0.359670192,0.3386906087,0.3370770514,0.3380943835,0.3291243017,0.3535870314,0.3348897398,0.3957834244,0.3411854804
43,0.3792142868,0.3678730726,0.3665278256,0.3693364859,0.3608528078,0.3535459936,0.3614367545,0.3640549183,0.3719058931
44,0.3848894835,0.3648401797,0.370313406,0.3676753342,0.3633745909,0.368522197,0.3614061773,0.3695584536,0.3703874648
45,0.3793084919,0.3685815334,0.3876645565,0.3652666509,0.366347909,0.3854965866,0.3700041473,0.4615868628,0.3731728494
46,0.3837311268,0.3701446056,0.3817826807,0.3754267693,0.3731382787,0.3715793788,0.3705990016,0.3752737939,0.3734316528
47,0.4921442568,0.45688954,0.4781976938,0.4642795622,0.4664105475,0.459823966,0.45910725,0.4509652555,0.4533728659
48,0.5569090247,0.5135977268,0.5181385875,0.5220497847,0.5243836045,0.5252905488,0.5229613781,0.5161150694,0.5106076598
49,0.5517853498,0.5164532661,0.5229973197,0.5263652802,0.5317573547,0.5151790977,0.5309535265,0.6010001302,0.5173444152
50,0.5464246869,0.5205478072,0.5225670934,0.5229318738,0.5419918895,0.5318679214,0.5377297997,0.8539252281,0.5196425915
